,interest,country_code,citizenship,gender,is_denominator,language,languages,max_age,min_age,scholarity,audience,age_range
3736,fitness and wellness,TN,locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,140,18-24.0
3737,fitness and wellness,AE,locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,16000,18-24.0
3738,fitness and wellness,YE,locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,170,18-24.0
3739,fitness and wellness,PS,locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,0,18-24.0
3740,fitness and wellness,DZ,locals,Male,False,English,NOTSELECTED,24.0,18,ND,4700,18-24.0
3742,fitness and wellness,EG,locals,Male,False,English,NOTSELECTED,24.0,18,ND,2800,18-24.0
3743,fitness and wellness,IQ,locals,Male,False,English,NOTSELECTED,24.0,18,ND,4200,18-24.0
3744,fitness and wellness,JO,locals,Male,False,English,NOTSELECTED,24.0,18,ND,510,18-24.0
3745,fitness and wellness,KW,locals,Male,False,English,NOTSELECTED,24.0,18,ND,430,18-24.0
3746,fitness and wellness,LB,locals,Male,False,English,NOTSELECTED,24.0,18,ND,1300,18-24.0
3747,fitness and wellness,LY,locals,Male,False,English,NOTSELECTED,24.0,18,ND,150,18-24.0
3748,fitness and wellness,MA,locals,Male,False,English,NOTSELECTED,24.0,18,ND,8500,18-24.0
3749,fitness and wellness,OM,locals,Male,False,English,NOTSELECTED,24.0,18,ND,520,18-24.0
3750,fitness and wellness,QA,locals,Male,False,English,NOTSELECTED,24.0,18,ND,1200,18-24.0
3751,fitness and wellness,SA,locals,Male,False,English,NOTSELECTED,24.0,18,ND,95000,18-24.0
3752,fitness and wellness,SO,locals,Male,False,English,NOTSELECTED,24.0,18,ND,4800,18-24.0
3753,fitness and wellness,TN,locals,Male,False,English,NOTSELECTED,24.0,18,ND,4000,18-24.0
3754,fitness and wellness,AE,locals,Male,False,English,NOTSELECTED,24.0,18,ND,3900,18-24.0
3755,fitness and wellness,YE,locals,Male,False,English,NOTSELECTED,24.0,18,ND,150,18-24.0
3756,fitness and wellness,PS,locals,Male,False,English,NOTSELECTED,24.0,18,ND,0,18-24.0
3774,fitness and wellness,DZ,locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,200000,18-24.0
3776,fitness and wellness,EG,locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,780000,18-24.0
3777,fitness and wellness,IQ,locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,300000,18-24.0
3778,fitness and wellness,JO,locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,100000,18-24.0
3779,fitness and wellness,KW,locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,1200,18-24.0
3780,fitness and wellness,LB,locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,44000,18-24.0
3781,fitness and wellness,LY,locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,40000,18-24.0
3782,fitness and wellness,MA,locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,270000,18-24.0
3783,fitness and wellness,OM,locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,4100,18-24.0
3784,fitness and wellness,QA,locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,880,18-24.0
3785,fitness and wellness,SA,locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,54000,18-24.0
3786,fitness and wellness,SO,locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,4600,18-24.0
3787,fitness and wellness,TN,locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,95000,18-24.0
3788,fitness and wellness,AE,locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,3800,18-24.0
3789,fitness and wellness,YE,locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,32000,18-24.0
3790,fitness and wellness,PS,locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,27000,18-24.0
3791,fitness and wellness,DZ,locals,Male,False,English,NOTSELECTED,24.0,18,HS,38000,18-24.0
3793,fitness and wellness,EG,locals,Male,False,English,NOTSELECTED,24.0,18,HS,350000,18-24.0
3794,fitness and wellness,IQ,locals,Male,False,English,NOTSELECTED,24.0,18,HS,87000,18-24.0
3795,fitness and wellness,JO,locals,Male,False,English,NOTSELECTED,24.0,18,HS,47000,18-24.0
3796,fitness and wellness,KW,locals,Male,False,English,NOTSELECTED,24.0,18,HS,2300,18-24.0
3797,fitness and wellness,LB,locals,Male,False,English,NOTSELECTED,24.0,18,HS,45000,18-24.0
3798,fitness and wellness,LY,locals,Male,False,English,NOTSELECTED,24.0,18,HS,11000,18-24.0
3799,fitness and wellness,MA,locals,Male,False,English,NOTSELECTED,24.0,18,HS,76000,18-24.0
3800,fitness and wellness,OM,locals,Male,False,English,NOTSELECTED,24.0,18,HS,2100,18-24.0
3801,fitness and wellness,QA,locals,Male,False,English,NOTSELECTED,24.0,18,HS,3000,18-24.0
3802,fitness and wellness,SA,locals,Male,False,English,NOTSELECTED,24.0,18,HS,71000,18-24.0
3803,fitness and wellness,SO,locals,Male,False,English,NOTSELECTED,24.0,18,HS,7500,18-24.0
3804,fitness and wellness,TN,locals,Male,False,English,NOTSELECTED,24.0,18,HS,34000,18-24.0
3805,fitness and wellness,AE,locals,Male,False,English,NOTSELECTED,24.0,18,HS,11000,18-24.0
3806,fitness and wellness,YE,locals,Male,False,English,NOTSELECTED,24.0,18,HS,6000,18-24.0
3807,fitness and wellness,PS,locals,Male,False,English,NOTSELECTED,24.0,18,HS,8200,18-24.0
3808,fitness and wellness,DZ,locals,Male,False,European,NOTSELECTED,24.0,18,HS,8200,18-24.0
3810,fitness and wellness,EG,locals,Male,False,European,NOTSELECTED,24.0,18,HS,34000,18-24.0
3811,fitness and wellness,IQ,locals,Male,False,European,NOTSELECTED,24.0,18,HS,2200,18-24.0
3812,fitness and wellness,JO,locals,Male,False,European,NOTSELECTED,24.0,18,HS,2200,18-24.0
3813,fitness and wellness,KW,locals,Male,False,European,NOTSELECTED,24.0,18,HS,130,18-24.0
3814,fitness and wellness,LB,locals,Male,False,European,NOTSELECTED,24.0,18,HS,2100,18-24.0
3815,fitness and wellness,LY,locals,Male,False,European,NOTSELECTED,24.0,18,HS,720,18-24.0
3816,fitness and wellness,MA,locals,Male,False,European,NOTSELECTED,24.0,18,HS,18000,18-24.0
3817,fitness and wellness,OM,locals,Male,False,European,NOTSELECTED,24.0,18,HS,80,18-24.0
3818,fitness and wellness,QA,locals,Male,False,European,NOTSELECTED,24.0,18,HS,140,18-24.0
3819,fitness and wellness,SA,locals,Male,False,European,NOTSELECTED,24.0,18,HS,2600,18-24.0
3820,fitness and wellness,SO,locals,Male,False,European,NOTSELECTED,24.0,18,HS,240,18-24.0
3821,fitness and wellness,TN,locals,Male,False,European,NOTSELECTED,24.0,18,HS,11000,18-24.0
3822,fitness and wellness,AE,locals,Male,False,European,NOTSELECTED,24.0,18,HS,420,18-24.0
3823,fitness and wellness,YE,locals,Male,False,European,NOTSELECTED,24.0,18,HS,220,18-24.0
3824,fitness and wellness,PS,locals,Male,False,European,NOTSELECTED,24.0,18,HS,380,18-24.0
3825,fitness and wellness,DZ,locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,230,18-24.0
3827,fitness and wellness,EG,locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,1000,18-24.0
3828,fitness and wellness,IQ,locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,290,18-24.0
3829,fitness and wellness,JO,locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,200,18-24.0
3830,fitness and wellness,KW,locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,380,18-24.0
3831,fitness and wellness,LB,locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,140,18-24.0
3832,fitness and wellness,LY,locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,50,18-24.0
3833,fitness and wellness,MA,locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,420,18-24.0
3834,fitness and wellness,OM,locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,560,18-24.0
3835,fitness and wellness,QA,locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,1200,18-24.0
3836,fitness and wellness,SA,locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,31000,18-24.0
3837,fitness and wellness,SO,locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,0,18-24.0
3838,fitness and wellness,TN,locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,90,18-24.0
3839,fitness and wellness,AE,locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,4600,18-24.0
3840,fitness and wellness,YE,locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,30,18-24.0
3841,fitness and wellness,PS,locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,0,18-24.0
3842,fitness and wellness,DZ,locals,Male,False,English,NOTSELECTED,24.0,18,HS,1700,18-24.0
3844,fitness and wellness,EG,locals,Male,False,English,NOTSELECTED,24.0,18,HS,1400,18-24.0
3845,fitness and wellness,IQ,locals,Male,False,English,NOTSELECTED,24.0,18,HS,1900,18-24.0
3846,fitness and wellness,JO,locals,Male,False,English,NOTSELECTED,24.0,18,HS,370,18-24.0
3847,fitness and wellness,KW,locals,Male,False,English,NOTSELECTED,24.0,18,HS,140,18-24.0
3848,fitness and wellness,LB,locals,Male,False,English,NOTSELECTED,24.0,18,HS,640,18-24.0
3849,fitness and wellness,LY,locals,Male,False,English,NOTSELECTED,24.0,18,HS,40,18-24.0
3850,fitness and wellness,MA,locals,Male,False,English,NOTSELECTED,24.0,18,HS,3300,18-24.0
3851,fitness and wellness,OM,locals,Male,False,English,NOTSELECTED,24.0,18,HS,180,18-24.0
3852,fitness and wellness,QA,locals,Male,False,English,NOTSELECTED,24.0,18,HS,680,18-24.0
3853,fitness and wellness,SA,locals,Male,False,English,NOTSELECTED,24.0,18,HS,12000,18-24.0
3854,fitness and wellness,SO,locals,Male,False,English,NOTSELECTED,24.0,18,HS,2800,18-24.0
3855,fitness and wellness,TN,locals,Male,False,English,NOTSELECTED,24.0,18,HS,2800,18-24.0
3856,fitness and wellness,AE,locals,Male,False,English,NOTSELECTED,24.0,18,HS,2400,18-24.0
3857,fitness and wellness,YE,locals,Male,False,English,NOTSELECTED,24.0,18,HS,0,18-24.0
3858,fitness and wellness,PS,locals,Male,False,English,NOTSELECTED,24.0,18,HS,30,18-24.0
3876,fitness and wellness,DZ,locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,450000,18-24.0
3878,fitness and wellness,EG,locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,1400000,18-24.0
3879,fitness and wellness,IQ,locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,500000,18-24.0
3880,fitness and wellness,JO,locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,130000,18-24.0
3881,fitness and wellness,KW,locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,2000,18-24.0
3882,fitness and wellness,LB,locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,56000,18-24.0
3883,fitness and wellness,LY,locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,72000,18-24.0
3884,fitness and wellness,MA,locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,650000,18-24.0
3885,fitness and wellness,OM,locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,6300,18-24.0
3886,fitness and wellness,QA,locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,1700,18-24.0
3887,fitness and wellness,SA,locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,94000,18-24.0
3888,fitness and wellness,SO,locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,14000,18-24.0
3889,fitness and wellness,TN,locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,190000,18-24.0
3890,fitness and wellness,AE,locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,5600,18-24.0
3891,fitness and wellness,YE,locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,52000,18-24.0
3892,fitness and wellness,PS,locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,45000,18-24.0
3893,fitness and wellness,DZ,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,85000,18-24.0
3895,fitness and wellness,EG,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,520000,18-24.0
3896,fitness and wellness,IQ,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,120000,18-24.0
3897,fitness and wellness,JO,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,49000,18-24.0
3898,fitness and wellness,KW,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,3700,18-24.0
3899,fitness and wellness,LB,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,55000,18-24.0
3900,fitness and wellness,LY,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,17000,18-24.0
3901,fitness and wellness,MA,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,180000,18-24.0
3902,fitness and wellness,OM,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,5100,18-24.0
3903,fitness and wellness,QA,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,9000,18-24.0
3904,fitness and wellness,SA,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,130000,18-24.0
3905,fitness and wellness,SO,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,21000,18-24.0
3906,fitness and wellness,TN,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,69000,18-24.0
3907,fitness and wellness,AE,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,30000,18-24.0
3908,fitness and wellness,YE,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,8000,18-24.0
3909,fitness and wellness,PS,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,12000,18-24.0
3910,fitness and wellness,DZ,locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,21000,18-24.0
3912,fitness and wellness,EG,locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,47000,18-24.0
3913,fitness and wellness,IQ,locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,3500,18-24.0
3914,fitness and wellness,JO,locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,2400,18-24.0
3915,fitness and wellness,KW,locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,190,18-24.0
3916,fitness and wellness,LB,locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,2500,18-24.0
3917,fitness and wellness,LY,locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,1100,18-24.0
3918,fitness and wellness,MA,locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,46000,18-24.0
3919,fitness and wellness,OM,locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,150,18-24.0
3920,fitness and wellness,QA,locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,280,18-24.0
3921,fitness and wellness,SA,locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,4600,18-24.0
