,age_range,gender,citizenship,scholarity,audience,topic,country_code
8687,45+,Female,Expats,No Degree,3700,health,IQ
8688,18-24,Male,Expats,High School,25000,health,IQ
8689,25-44,Male,Expats,High School,27000,health,IQ
8690,45+,Male,Expats,High School,4300,health,IQ
8691,18-24,Female,Expats,High School,7700,health,IQ
8692,25-44,Female,Expats,High School,5900,health,IQ
8693,45+,Female,Expats,High School,1100,health,IQ
8694,18-24,Male,Locals,Graduated,510000,health,IQ
8695,25-44,Male,Locals,Graduated,1000000,health,IQ
8696,45+,Male,Locals,Graduated,150000,health,IQ
8697,18-24,Female,Locals,Graduated,140000,health,IQ
8698,25-44,Female,Locals,Graduated,270000,health,IQ
8699,45+,Female,Locals,Graduated,41000,health,IQ
8700,18-24,Male,Locals,No Degree,830000,health,IQ
8701,25-44,Male,Locals,No Degree,1100000,health,IQ
8702,45+,Male,Locals,No Degree,260000,health,IQ
8703,18-24,Female,Locals,No Degree,260000,health,IQ
8704,25-44,Female,Locals,No Degree,330000,health,IQ
8705,45+,Female,Locals,No Degree,96000,health,IQ
8706,18-24,Male,Locals,High School,340000,health,IQ
8707,25-44,Male,Locals,High School,320000,health,IQ
8708,45+,Male,Locals,High School,51000,health,IQ
8709,18-24,Female,Locals,High School,140000,health,IQ
8710,25-44,Female,Locals,High School,86000,health,IQ
8711,45+,Female,Locals,High School,15000,health,IQ
8712,18-24,Male,Expats,Graduated,38000,health,JO
8713,25-44,Male,Expats,Graduated,87000,health,JO
8714,45+,Male,Expats,Graduated,15000,health,JO
8715,18-24,Female,Expats,Graduated,25000,health,JO
8716,25-44,Female,Expats,Graduated,60000,health,JO
8717,45+,Female,Expats,Graduated,13000,health,JO
8718,18-24,Male,Expats,No Degree,35000,health,JO
8719,25-44,Male,Expats,No Degree,65000,health,JO
8720,45+,Male,Expats,No Degree,16000,health,JO
8721,18-24,Female,Expats,No Degree,19000,health,JO
8722,25-44,Female,Expats,No Degree,38000,health,JO
8723,45+,Female,Expats,No Degree,18000,health,JO
8724,18-24,Male,Expats,High School,32000,health,JO
8725,25-44,Male,Expats,High School,27000,health,JO
8726,45+,Male,Expats,High School,4800,health,JO
8727,18-24,Female,Expats,High School,31000,health,JO
8728,25-44,Female,Expats,High School,19000,health,JO
8729,45+,Female,Expats,High School,5100,health,JO
8730,18-24,Male,Locals,Graduated,130000,health,JO
8731,25-44,Male,Locals,Graduated,260000,health,JO
8732,45+,Male,Locals,Graduated,47000,health,JO
8733,18-24,Female,Locals,Graduated,96000,health,JO
8734,25-44,Female,Locals,Graduated,190000,health,JO
8735,45+,Female,Locals,Graduated,29000,health,JO
8736,18-24,Male,Locals,No Degree,140000,health,JO
8737,25-44,Male,Locals,No Degree,200000,health,JO
8738,45+,Male,Locals,No Degree,73000,health,JO
8739,18-24,Female,Locals,No Degree,130000,health,JO
8740,25-44,Female,Locals,No Degree,190000,health,JO
8741,45+,Female,Locals,No Degree,70000,health,JO
8742,18-24,Male,Locals,High School,110000,health,JO
8743,25-44,Male,Locals,High School,80000,health,JO
8744,45+,Male,Locals,High School,19000,health,JO
8745,18-24,Female,Locals,High School,110000,health,JO
8746,25-44,Female,Locals,High School,60000,health,JO
8747,45+,Female,Locals,High School,12000,health,JO
8748,18-24,Male,Expats,Graduated,25000,health,KW
8749,25-44,Male,Expats,Graduated,220000,health,KW
8750,45+,Male,Expats,Graduated,31000,health,KW
8751,18-24,Female,Expats,Graduated,11000,health,KW
8752,25-44,Female,Expats,Graduated,110000,health,KW
8753,45+,Female,Expats,Graduated,16000,health,KW
8754,18-24,Male,Expats,No Degree,42000,health,KW
8755,25-44,Male,Expats,No Degree,180000,health,KW
8756,45+,Male,Expats,No Degree,37000,health,KW
8757,18-24,Female,Expats,No Degree,17000,health,KW
8758,25-44,Female,Expats,No Degree,72000,health,KW
8759,45+,Female,Expats,No Degree,16000,health,KW
8760,18-24,Male,Expats,High School,12000,health,KW
8761,25-44,Male,Expats,High School,63000,health,KW
8762,45+,Male,Expats,High School,9800,health,KW
8763,18-24,Female,Expats,High School,8000,health,KW
8764,25-44,Female,Expats,High School,39000,health,KW
8765,45+,Female,Expats,High School,5900,health,KW
8766,18-24,Male,Locals,Graduated,6900,health,KW
8767,25-44,Male,Locals,Graduated,31000,health,KW
8768,45+,Male,Locals,Graduated,4700,health,KW
8769,18-24,Female,Locals,Graduated,3700,health,KW
8770,25-44,Female,Locals,Graduated,20000,health,KW
8771,45+,Female,Locals,Graduated,2500,health,KW
8772,18-24,Male,Locals,No Degree,22000,health,KW
8773,25-44,Male,Locals,No Degree,51000,health,KW
8774,45+,Male,Locals,No Degree,9700,health,KW
8775,18-24,Female,Locals,No Degree,11000,health,KW
8776,25-44,Female,Locals,No Degree,27000,health,KW
8777,45+,Female,Locals,No Degree,5400,health,KW
8778,18-24,Male,Locals,High School,4100,health,KW
8779,25-44,Male,Locals,High School,9100,health,KW
8780,45+,Male,Locals,High School,1400,health,KW
8781,18-24,Female,Locals,High School,3200,health,KW
8782,25-44,Female,Locals,High School,7000,health,KW
8783,45+,Female,Locals,High School,700,health,KW
8784,18-24,Male,Expats,Graduated,20000,health,LB
8785,25-44,Male,Expats,Graduated,46000,health,LB
8786,45+,Male,Expats,Graduated,7000,health,LB
8787,18-24,Female,Expats,Graduated,8900,health,LB
8788,25-44,Female,Expats,Graduated,30000,health,LB
8789,45+,Female,Expats,Graduated,7400,health,LB
8790,18-24,Male,Expats,No Degree,28000,health,LB
8791,25-44,Male,Expats,No Degree,54000,health,LB
8792,45+,Male,Expats,No Degree,10000,health,LB
8793,18-24,Female,Expats,No Degree,15000,health,LB
8794,25-44,Female,Expats,No Degree,32000,health,LB
8795,45+,Female,Expats,No Degree,10000,health,LB
8796,18-24,Male,Expats,High School,13000,health,LB
8797,25-44,Male,Expats,High School,16000,health,LB
8798,45+,Male,Expats,High School,2400,health,LB
8799,18-24,Female,Expats,High School,7600,health,LB
8800,25-44,Female,Expats,High School,12000,health,LB
8801,45+,Female,Expats,High School,3000,health,LB
8802,18-24,Male,Locals,Graduated,53000,health,LB
8803,25-44,Male,Locals,Graduated,120000,health,LB
8804,45+,Male,Locals,Graduated,31000,health,LB
8805,18-24,Female,Locals,Graduated,53000,health,LB
8806,25-44,Female,Locals,Graduated,130000,health,LB
8807,45+,Female,Locals,Graduated,32000,health,LB
8808,18-24,Male,Locals,No Degree,90000,health,LB
8809,25-44,Male,Locals,No Degree,130000,health,LB
8810,45+,Male,Locals,No Degree,62000,health,LB
8811,18-24,Female,Locals,No Degree,75000,health,LB
8812,25-44,Female,Locals,No Degree,150000,health,LB
8813,45+,Female,Locals,No Degree,87000,health,LB
8814,18-24,Male,Locals,High School,43000,health,LB
8815,25-44,Male,Locals,High School,34000,health,LB
8816,45+,Male,Locals,High School,10000,health,LB
8817,18-24,Female,Locals,High School,54000,health,LB
8818,25-44,Female,Locals,High School,37000,health,LB
8819,45+,Female,Locals,High School,12000,health,LB
8820,18-24,Male,Expats,Graduated,12000,health,LY
8821,25-44,Male,Expats,Graduated,37000,health,LY
8822,45+,Male,Expats,Graduated,5100,health,LY
8823,18-24,Female,Expats,Graduated,4100,health,LY
8824,25-44,Female,Expats,Graduated,12000,health,LY
8825,45+,Female,Expats,Graduated,2500,health,LY
8826,18-24,Male,Expats,No Degree,13000,health,LY
8827,25-44,Male,Expats,No Degree,33000,health,LY
8828,45+,Male,Expats,No Degree,5800,health,LY
8829,18-24,Female,Expats,No Degree,3800,health,LY
8830,25-44,Female,Expats,No Degree,10000,health,LY
8831,45+,Female,Expats,No Degree,3100,health,LY
8832,18-24,Male,Expats,High School,5500,health,LY
8833,25-44,Male,Expats,High School,9200,health,LY
8834,45+,Male,Expats,High School,1700,health,LY
8835,18-24,Female,Expats,High School,2800,health,LY
8836,25-44,Female,Expats,High School,3100,health,LY
8837,45+,Female,Expats,High School,750,health,LY
8838,18-24,Male,Locals,Graduated,76000,health,LY
8839,25-44,Male,Locals,Graduated,180000,health,LY
8840,45+,Male,Locals,Graduated,30000,health,LY
8841,18-24,Female,Locals,Graduated,60000,health,LY
8842,25-44,Female,Locals,Graduated,120000,health,LY
8843,45+,Female,Locals,Graduated,16000,health,LY
8844,18-24,Male,Locals,No Degree,73000,health,LY
8845,25-44,Male,Locals,No Degree,160000,health,LY
8846,45+,Male,Locals,No Degree,39000,health,LY
8847,18-24,Female,Locals,No Degree,65000,health,LY
8848,25-44,Female,Locals,No Degree,130000,health,LY
8849,45+,Female,Locals,No Degree,37000,health,LY
8850,18-24,Male,Locals,High School,43000,health,LY
8851,25-44,Male,Locals,High School,42000,health,LY
8852,45+,Male,Locals,High School,8600,health,LY
8853,18-24,Female,Locals,High School,47000,health,LY
8854,25-44,Female,Locals,High School,30000,health,LY
8855,45+,Female,Locals,High School,5100,health,LY
8856,18-24,Male,Expats,Graduated,94000,health,MA
8857,25-44,Male,Expats,Graduated,83000,health,MA
8858,45+,Male,Expats,Graduated,13000,health,MA
8859,18-24,Female,Expats,Graduated,30000,health,MA
8860,25-44,Female,Expats,Graduated,31000,health,MA
8861,45+,Female,Expats,Graduated,5300,health,MA
8862,18-24,Male,Expats,No Degree,31000,health,MA
8863,25-44,Male,Expats,No Degree,44000,health,MA
8864,45+,Male,Expats,No Degree,11000,health,MA
8865,18-24,Female,Expats,No Degree,17000,health,MA
8866,25-44,Female,Expats,No Degree,24000,health,MA
8867,45+,Female,Expats,No Degree,6400,health,MA
8868,18-24,Male,Expats,High School,34000,health,MA
8869,25-44,Male,Expats,High School,21000,health,MA
8870,45+,Male,Expats,High School,4100,health,MA
8871,18-24,Female,Expats,High School,13000,health,MA
8872,25-44,Female,Expats,High School,9000,health,MA
8873,45+,Female,Expats,High School,2300,health,MA
8874,18-24,Male,Locals,Graduated,640000,health,MA
8875,25-44,Male,Locals,Graduated,710000,health,MA
8876,45+,Male,Locals,Graduated,110000,health,MA
8877,18-24,Female,Locals,Graduated,370000,health,MA
8878,25-44,Female,Locals,Graduated,350000,health,MA
8879,45+,Female,Locals,Graduated,47000,health,MA
8880,18-24,Male,Locals,No Degree,530000,health,MA
8881,25-44,Male,Locals,No Degree,800000,health,MA
8882,45+,Male,Locals,No Degree,190000,health,MA
8883,18-24,Female,Locals,No Degree,410000,health,MA
8884,25-44,Female,Locals,No Degree,410000,health,MA
8885,45+,Female,Locals,No Degree,92000,health,MA
8886,18-24,Male,Locals,High School,270000,health,MA
8887,25-44,Male,Locals,High School,190000,health,MA
8888,45+,Male,Locals,High School,38000,health,MA
8889,18-24,Female,Locals,High School,190000,health,MA
8890,25-44,Female,Locals,High School,100000,health,MA
8891,45+,Female,Locals,High School,19000,health,MA
8892,18-24,Male,Expats,Graduated,23000,health,OM
8893,25-44,Male,Expats,Graduated,120000,health,OM
8894,45+,Male,Expats,Graduated,14000,health,OM
