,ages_ranges,genders,behavior,scholarities,relationship_statuses,audience,timestamp,publisher_platforms,topic,location
6253,25-44,1,Expats,High School,NOTSELECTED,85000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6254,45+,1,Expats,High School,NOTSELECTED,9000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6255,18-24,2,Expats,High School,NOTSELECTED,4200,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6256,25-44,2,Expats,High School,NOTSELECTED,13000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6257,45+,2,Expats,High School,NOTSELECTED,2000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6258,18-24,1,Expats,UNSPECIFIED,NOTSELECTED,17000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6259,25-44,1,Expats,UNSPECIFIED,NOTSELECTED,54000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6260,45+,1,Expats,UNSPECIFIED,NOTSELECTED,8100,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6261,18-24,2,Expats,UNSPECIFIED,NOTSELECTED,2000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6262,25-44,2,Expats,UNSPECIFIED,NOTSELECTED,7700,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6263,45+,2,Expats,UNSPECIFIED,NOTSELECTED,2000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6264,18-24,1,Locals,Graduated,NOTSELECTED,27000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6265,25-44,1,Locals,Graduated,NOTSELECTED,110000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6266,45+,1,Locals,Graduated,NOTSELECTED,13000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6267,18-24,2,Locals,Graduated,NOTSELECTED,2200,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6268,25-44,2,Locals,Graduated,NOTSELECTED,9200,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6269,45+,2,Locals,Graduated,NOTSELECTED,1700,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6270,18-24,1,Locals,No Degree,NOTSELECTED,3100,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6271,25-44,1,Locals,No Degree,NOTSELECTED,6000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6272,45+,1,Locals,No Degree,NOTSELECTED,570,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6273,18-24,2,Locals,No Degree,NOTSELECTED,410,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6274,25-44,2,Locals,No Degree,NOTSELECTED,710,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6275,45+,2,Locals,No Degree,NOTSELECTED,120,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6276,18-24,1,Locals,High School,NOTSELECTED,16000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6277,25-44,1,Locals,High School,NOTSELECTED,39000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6278,45+,1,Locals,High School,NOTSELECTED,4800,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6279,18-24,2,Locals,High School,NOTSELECTED,1800,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6280,25-44,2,Locals,High School,NOTSELECTED,3600,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6281,45+,2,Locals,High School,NOTSELECTED,550,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6282,18-24,1,Locals,UNSPECIFIED,NOTSELECTED,120000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6283,25-44,1,Locals,UNSPECIFIED,NOTSELECTED,260000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6284,45+,1,Locals,UNSPECIFIED,NOTSELECTED,44000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6285,18-24,2,Locals,UNSPECIFIED,NOTSELECTED,7900,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
