,ages_ranges,genders,behavior,scholarities,relationship_statuses,audience,timestamp,publisher_platforms,topic,location
4911,18-24,2,Expats,High School,NOTSELECTED,11000,1494418491,['facebook'],luxury goods,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
4912,25-44,2,Expats,High School,NOTSELECTED,5200,1494418491,['facebook'],luxury goods,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
4913,45+,2,Expats,High School,NOTSELECTED,690,1494418491,['facebook'],luxury goods,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
4914,18-24,1,Expats,UNSPECIFIED,NOTSELECTED,23000,1494418491,['facebook'],luxury goods,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
4915,25-44,1,Expats,UNSPECIFIED,NOTSELECTED,26000,1494418491,['facebook'],luxury goods,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
4916,45+,1,Expats,UNSPECIFIED,NOTSELECTED,2200,1494418491,['facebook'],luxury goods,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
4917,18-24,2,Expats,UNSPECIFIED,NOTSELECTED,16000,1494418491,['facebook'],luxury goods,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
4918,25-44,2,Expats,UNSPECIFIED,NOTSELECTED,17000,1494418491,['facebook'],luxury goods,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
4919,45+,2,Expats,UNSPECIFIED,NOTSELECTED,2200,1494418491,['facebook'],luxury goods,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
4920,18-24,1,Locals,Graduated,NOTSELECTED,220000,1494418491,['facebook'],luxury goods,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
4921,25-44,1,Locals,Graduated,NOTSELECTED,370000,1494418491,['facebook'],luxury goods,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
4922,45+,1,Locals,Graduated,NOTSELECTED,15000,1494418491,['facebook'],luxury goods,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
