,ages_ranges,genders,behavior,scholarities,relationship_statuses,audience,timestamp,publisher_platforms,topic,location
4125,18-24,2,Locals,UNSPECIFIED,NOTSELECTED,18000,1494418491,['facebook'],diabetes awareness,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
4126,25-44,2,Locals,UNSPECIFIED,NOTSELECTED,32000,1494418491,['facebook'],diabetes awareness,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
4127,45+,2,Locals,UNSPECIFIED,NOTSELECTED,10000,1494418491,['facebook'],diabetes awareness,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
4128,18-24,1,Expats,Graduated,NOTSELECTED,710,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4129,25-44,1,Expats,Graduated,NOTSELECTED,3600,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4130,45+,1,Expats,Graduated,NOTSELECTED,1100,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4131,18-24,2,Expats,Graduated,NOTSELECTED,170,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4132,25-44,2,Expats,Graduated,NOTSELECTED,3200,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4133,45+,2,Expats,Graduated,NOTSELECTED,1600,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4134,18-24,1,Expats,No Degree,NOTSELECTED,0,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4135,25-44,1,Expats,No Degree,NOTSELECTED,150,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
