,ages_ranges,genders,behavior,scholarities,relationship_statuses,audience,timestamp,publisher_platforms,topic,location
9007,25-44,1,Locals,No Degree,NOTSELECTED,1400,1494418491,['facebook'],mental disease depression,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
9008,45+,1,Locals,No Degree,NOTSELECTED,140,1494418491,['facebook'],mental disease depression,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
9009,18-24,2,Locals,No Degree,NOTSELECTED,720,1494418491,['facebook'],mental disease depression,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
9010,25-44,2,Locals,No Degree,NOTSELECTED,340,1494418491,['facebook'],mental disease depression,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
9011,45+,2,Locals,No Degree,NOTSELECTED,100,1494418491,['facebook'],mental disease depression,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
9012,18-24,1,Locals,High School,NOTSELECTED,11000,1494418491,['facebook'],mental disease depression,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
9013,25-44,1,Locals,High School,NOTSELECTED,12000,1494418491,['facebook'],mental disease depression,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
9014,45+,1,Locals,High School,NOTSELECTED,1400,1494418491,['facebook'],mental disease depression,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
9015,18-24,2,Locals,High School,NOTSELECTED,6400,1494418491,['facebook'],mental disease depression,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
9016,25-44,2,Locals,High School,NOTSELECTED,3400,1494418491,['facebook'],mental disease depression,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
9017,45+,2,Locals,High School,NOTSELECTED,590,1494418491,['facebook'],mental disease depression,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
9018,18-24,1,Locals,UNSPECIFIED,NOTSELECTED,23000,1494418491,['facebook'],mental disease depression,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
9019,25-44,1,Locals,UNSPECIFIED,NOTSELECTED,52000,1494418491,['facebook'],mental disease depression,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
9020,45+,1,Locals,UNSPECIFIED,NOTSELECTED,5800,1494418491,['facebook'],mental disease depression,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
9021,18-24,2,Locals,UNSPECIFIED,NOTSELECTED,12000,1494418491,['facebook'],mental disease depression,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
9022,25-44,2,Locals,UNSPECIFIED,NOTSELECTED,16000,1494418491,['facebook'],mental disease depression,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
9023,45+,2,Locals,UNSPECIFIED,NOTSELECTED,2500,1494418491,['facebook'],mental disease depression,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
9024,18-24,1,Expats,Graduated,NOTSELECTED,450,1494418491,['facebook'],mental disease depression,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
9025,25-44,1,Expats,Graduated,NOTSELECTED,1700,1494418491,['facebook'],mental disease depression,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
9026,45+,1,Expats,Graduated,NOTSELECTED,580,1494418491,['facebook'],mental disease depression,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
9027,18-24,2,Expats,Graduated,NOTSELECTED,60,1494418491,['facebook'],mental disease depression,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
9028,25-44,2,Expats,Graduated,NOTSELECTED,1300,1494418491,['facebook'],mental disease depression,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
9029,45+,2,Expats,Graduated,NOTSELECTED,400,1494418491,['facebook'],mental disease depression,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
9030,18-24,1,Expats,No Degree,NOTSELECTED,0,1494418491,['facebook'],mental disease depression,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
9031,25-44,1,Expats,No Degree,NOTSELECTED,40,1494418491,['facebook'],mental disease depression,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
9032,45+,1,Expats,No Degree,NOTSELECTED,30,1494418491,['facebook'],mental disease depression,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
9033,18-24,2,Expats,No Degree,NOTSELECTED,0,1494418491,['facebook'],mental disease depression,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
9034,25-44,2,Expats,No Degree,NOTSELECTED,0,1494418491,['facebook'],mental disease depression,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
9035,45+,2,Expats,No Degree,NOTSELECTED,0,1494418491,['facebook'],mental disease depression,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
9036,18-24,1,Expats,High School,NOTSELECTED,180,1494418491,['facebook'],mental disease depression,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
9037,25-44,1,Expats,High School,NOTSELECTED,450,1494418491,['facebook'],mental disease depression,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
9038,45+,1,Expats,High School,NOTSELECTED,280,1494418491,['facebook'],mental disease depression,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
9039,18-24,2,Expats,High School,NOTSELECTED,40,1494418491,['facebook'],mental disease depression,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
9040,25-44,2,Expats,High School,NOTSELECTED,360,1494418491,['facebook'],mental disease depression,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
9041,45+,2,Expats,High School,NOTSELECTED,170,1494418491,['facebook'],mental disease depression,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
9042,18-24,1,Expats,UNSPECIFIED,NOTSELECTED,550,1494418491,['facebook'],mental disease depression,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
