,ages_ranges,genders,behavior,scholarities,relationship_statuses,audience,timestamp,publisher_platforms,topic,location
2395,25-44,1,Locals,UNSPECIFIED,NOTSELECTED,23000,1494418491,['facebook'],health care,"{""values"": [""YE""], ""name"": ""countries"", ""location_types"": [""home""]}"
2396,45+,1,Locals,UNSPECIFIED,NOTSELECTED,4600,1494418491,['facebook'],health care,"{""values"": [""YE""], ""name"": ""countries"", ""location_types"": [""home""]}"
2397,18-24,2,Locals,UNSPECIFIED,NOTSELECTED,3400,1494418491,['facebook'],health care,"{""values"": [""YE""], ""name"": ""countries"", ""location_types"": [""home""]}"
2398,25-44,2,Locals,UNSPECIFIED,NOTSELECTED,5300,1494418491,['facebook'],health care,"{""values"": [""YE""], ""name"": ""countries"", ""location_types"": [""home""]}"
2399,45+,2,Locals,UNSPECIFIED,NOTSELECTED,880,1494418491,['facebook'],health care,"{""values"": [""YE""], ""name"": ""countries"", ""location_types"": [""home""]}"
2400,18-24,1,Expats,Graduated,NOTSELECTED,2700,1494418491,['facebook'],health care,"{""values"": [""PS""], ""name"": ""countries"", ""location_types"": [""home""]}"
2401,25-44,1,Expats,Graduated,NOTSELECTED,4800,1494418491,['facebook'],health care,"{""values"": [""PS""], ""name"": ""countries"", ""location_types"": [""home""]}"
2402,45+,1,Expats,Graduated,NOTSELECTED,910,1494418491,['facebook'],health care,"{""values"": [""PS""], ""name"": ""countries"", ""location_types"": [""home""]}"
2403,18-24,2,Expats,Graduated,NOTSELECTED,2000,1494418491,['facebook'],health care,"{""values"": [""PS""], ""name"": ""countries"", ""location_types"": [""home""]}"
2404,25-44,2,Expats,Graduated,NOTSELECTED,3500,1494418491,['facebook'],health care,"{""values"": [""PS""], ""name"": ""countries"", ""location_types"": [""home""]}"
2405,45+,2,Expats,Graduated,NOTSELECTED,650,1494418491,['facebook'],health care,"{""values"": [""PS""], ""name"": ""countries"", ""location_types"": [""home""]}"
2406,18-24,1,Expats,No Degree,NOTSELECTED,140,1494418491,['facebook'],health care,"{""values"": [""PS""], ""name"": ""countries"", ""location_types"": [""home""]}"
2407,25-44,1,Expats,No Degree,NOTSELECTED,90,1494418491,['facebook'],health care,"{""values"": [""PS""], ""name"": ""countries"", ""location_types"": [""home""]}"
2408,45+,1,Expats,No Degree,NOTSELECTED,0,1494418491,['facebook'],health care,"{""values"": [""PS""], ""name"": ""countries"", ""location_types"": [""home""]}"
2409,18-24,2,Expats,No Degree,NOTSELECTED,180,1494418491,['facebook'],health care,"{""values"": [""PS""], ""name"": ""countries"", ""location_types"": [""home""]}"
2410,25-44,2,Expats,No Degree,NOTSELECTED,90,1494418491,['facebook'],health care,"{""values"": [""PS""], ""name"": ""countries"", ""location_types"": [""home""]}"
2411,45+,2,Expats,No Degree,NOTSELECTED,0,1494418491,['facebook'],health care,"{""values"": [""PS""], ""name"": ""countries"", ""location_types"": [""home""]}"
2412,18-24,1,Expats,High School,NOTSELECTED,1600,1494418491,['facebook'],health care,"{""values"": [""PS""], ""name"": ""countries"", ""location_types"": [""home""]}"
2413,25-44,1,Expats,High School,NOTSELECTED,1100,1494418491,['facebook'],health care,"{""values"": [""PS""], ""name"": ""countries"", ""location_types"": [""home""]}"
2414,45+,1,Expats,High School,NOTSELECTED,270,1494418491,['facebook'],health care,"{""values"": [""PS""], ""name"": ""countries"", ""location_types"": [""home""]}"
