,ages_ranges,genders,behavior,scholarities,relationship_statuses,audience,timestamp,publisher_platforms,topic,location
11490,18-24,1,Expats,UNSPECIFIED,NOTSELECTED,30000,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11491,25-44,1,Expats,UNSPECIFIED,NOTSELECTED,84000,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11492,45+,1,Expats,UNSPECIFIED,NOTSELECTED,14000,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11493,18-24,2,Expats,UNSPECIFIED,NOTSELECTED,7200,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11494,25-44,2,Expats,UNSPECIFIED,NOTSELECTED,22000,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11495,45+,2,Expats,UNSPECIFIED,NOTSELECTED,6100,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11496,18-24,1,Locals,Graduated,NOTSELECTED,2700,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11497,25-44,1,Locals,Graduated,NOTSELECTED,11000,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11498,45+,1,Locals,Graduated,NOTSELECTED,1700,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11499,18-24,2,Locals,Graduated,NOTSELECTED,1700,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11500,25-44,2,Locals,Graduated,NOTSELECTED,6500,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11501,45+,2,Locals,Graduated,NOTSELECTED,830,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11502,18-24,1,Locals,No Degree,NOTSELECTED,180,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11503,25-44,1,Locals,No Degree,NOTSELECTED,210,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11504,45+,1,Locals,No Degree,NOTSELECTED,0,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11505,18-24,2,Locals,No Degree,NOTSELECTED,110,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11506,25-44,2,Locals,No Degree,NOTSELECTED,90,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11507,45+,2,Locals,No Degree,NOTSELECTED,0,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11508,18-24,1,Locals,High School,NOTSELECTED,1700,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11509,25-44,1,Locals,High School,NOTSELECTED,3100,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11510,45+,1,Locals,High School,NOTSELECTED,570,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11511,18-24,2,Locals,High School,NOTSELECTED,1500,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11512,25-44,2,Locals,High School,NOTSELECTED,1600,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11513,45+,2,Locals,High School,NOTSELECTED,280,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11514,18-24,1,Locals,UNSPECIFIED,NOTSELECTED,3200,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11515,25-44,1,Locals,UNSPECIFIED,NOTSELECTED,8800,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11516,45+,1,Locals,UNSPECIFIED,NOTSELECTED,2300,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11517,18-24,2,Locals,UNSPECIFIED,NOTSELECTED,2000,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11518,25-44,2,Locals,UNSPECIFIED,NOTSELECTED,5400,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11519,45+,2,Locals,UNSPECIFIED,NOTSELECTED,1200,1494418491,['facebook'],health,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
11520,18-24,1,Expats,Graduated,NOTSELECTED,63000,1494418491,['facebook'],health,"{""values"": [""EG""], ""name"": ""countries"", ""location_types"": [""home""]}"
11521,25-44,1,Expats,Graduated,NOTSELECTED,120000,1494418491,['facebook'],health,"{""values"": [""EG""], ""name"": ""countries"", ""location_types"": [""home""]}"
11522,45+,1,Expats,Graduated,NOTSELECTED,24000,1494418491,['facebook'],health,"{""values"": [""EG""], ""name"": ""countries"", ""location_types"": [""home""]}"
11523,18-24,2,Expats,Graduated,NOTSELECTED,38000,1494418491,['facebook'],health,"{""values"": [""EG""], ""name"": ""countries"", ""location_types"": [""home""]}"
11524,25-44,2,Expats,Graduated,NOTSELECTED,78000,1494418491,['facebook'],health,"{""values"": [""EG""], ""name"": ""countries"", ""location_types"": [""home""]}"
11525,45+,2,Expats,Graduated,NOTSELECTED,14000,1494418491,['facebook'],health,"{""values"": [""EG""], ""name"": ""countries"", ""location_types"": [""home""]}"
11526,18-24,1,Expats,No Degree,NOTSELECTED,4100,1494418491,['facebook'],health,"{""values"": [""EG""], ""name"": ""countries"", ""location_types"": [""home""]}"
