,topic,audience,country_code,citizenship,gender,is_denominator,scholarity,age_range
216929,back pain,0,OM,Locals,Female,False,HS,18-24
216930,back pain,0,QA,Locals,Female,False,HS,18-24
216931,back pain,240,SA,Locals,Female,False,HS,18-24
216932,back pain,0,SO,Locals,Female,False,HS,18-24
216933,back pain,580,TN,Locals,Female,False,HS,18-24
216934,back pain,50,AE,Locals,Female,False,HS,18-24
216935,back pain,460,YE,Locals,Female,False,HS,18-24
216936,back pain,130,PS,Locals,Female,False,HS,18-24
222632,back pain,60000,DZ,Locals,Male,False,GRAD,25-44
222633,back pain,250,BH,Locals,Male,False,GRAD,25-44
222634,back pain,26000,EG,Locals,Male,False,GRAD,25-44
222635,back pain,8300,IQ,Locals,Male,False,GRAD,25-44
222636,back pain,2100,JO,Locals,Male,False,GRAD,25-44
222637,back pain,610,KW,Locals,Male,False,GRAD,25-44
222638,back pain,3000,LB,Locals,Male,False,GRAD,25-44
222639,back pain,6700,LY,Locals,Male,False,GRAD,25-44
222640,back pain,1500,MA,Locals,Male,False,GRAD,25-44
222641,back pain,460,OM,Locals,Male,False,GRAD,25-44
222642,back pain,490,QA,Locals,Male,False,GRAD,25-44
222643,back pain,7500,SA,Locals,Male,False,GRAD,25-44
222644,back pain,0,SO,Locals,Male,False,GRAD,25-44
222645,back pain,8000,TN,Locals,Male,False,GRAD,25-44
222646,back pain,1700,AE,Locals,Male,False,GRAD,25-44
222647,back pain,3700,YE,Locals,Male,False,GRAD,25-44
222648,back pain,1700,PS,Locals,Male,False,GRAD,25-44
222751,back pain,110000,DZ,Locals,Male,False,ND,25-44
222752,back pain,120,BH,Locals,Male,False,ND,25-44
222753,back pain,17000,EG,Locals,Male,False,ND,25-44
222754,back pain,11000,IQ,Locals,Male,False,ND,25-44
222755,back pain,1700,JO,Locals,Male,False,ND,25-44
222756,back pain,660,KW,Locals,Male,False,ND,25-44
222757,back pain,3200,LB,Locals,Male,False,ND,25-44
222758,back pain,12000,LY,Locals,Male,False,ND,25-44
222759,back pain,2000,MA,Locals,Male,False,ND,25-44
222760,back pain,330,OM,Locals,Male,False,ND,25-44
222761,back pain,300,QA,Locals,Male,False,ND,25-44
222762,back pain,28000,SA,Locals,Male,False,ND,25-44
222763,back pain,0,SO,Locals,Male,False,ND,25-44
222764,back pain,12000,TN,Locals,Male,False,ND,25-44
222765,back pain,3100,AE,Locals,Male,False,ND,25-44
222766,back pain,2400,YE,Locals,Male,False,ND,25-44
222767,back pain,1000,PS,Locals,Male,False,ND,25-44
222870,back pain,19000,DZ,Locals,Male,False,HS,25-44
222871,back pain,60,BH,Locals,Male,False,HS,25-44
222872,back pain,6100,EG,Locals,Male,False,HS,25-44
222873,back pain,2600,IQ,Locals,Male,False,HS,25-44
222874,back pain,780,JO,Locals,Male,False,HS,25-44
222875,back pain,160,KW,Locals,Male,False,HS,25-44
222876,back pain,950,LB,Locals,Male,False,HS,25-44
222877,back pain,1700,LY,Locals,Male,False,HS,25-44
222878,back pain,460,MA,Locals,Male,False,HS,25-44
222879,back pain,140,OM,Locals,Male,False,HS,25-44
222880,back pain,130,QA,Locals,Male,False,HS,25-44
222881,back pain,2900,SA,Locals,Male,False,HS,25-44
222882,back pain,0,SO,Locals,Male,False,HS,25-44
222883,back pain,3000,TN,Locals,Male,False,HS,25-44
222884,back pain,450,AE,Locals,Male,False,HS,25-44
222885,back pain,1000,YE,Locals,Male,False,HS,25-44
222886,back pain,470,PS,Locals,Male,False,HS,25-44
223822,back pain,28000,DZ,Locals,Female,False,GRAD,25-44
223823,back pain,120,BH,Locals,Female,False,GRAD,25-44
223824,back pain,24000,EG,Locals,Female,False,GRAD,25-44
223825,back pain,1500,IQ,Locals,Female,False,GRAD,25-44
223826,back pain,1200,JO,Locals,Female,False,GRAD,25-44
223827,back pain,250,KW,Locals,Female,False,GRAD,25-44
223828,back pain,2900,LB,Locals,Female,False,GRAD,25-44
223829,back pain,3500,LY,Locals,Female,False,GRAD,25-44
223830,back pain,1200,MA,Locals,Female,False,GRAD,25-44
223831,back pain,70,OM,Locals,Female,False,GRAD,25-44
223832,back pain,130,QA,Locals,Female,False,GRAD,25-44
223833,back pain,1400,SA,Locals,Female,False,GRAD,25-44
223834,back pain,0,SO,Locals,Female,False,GRAD,25-44
223835,back pain,2200,TN,Locals,Female,False,GRAD,25-44
223836,back pain,430,AE,Locals,Female,False,GRAD,25-44
223837,back pain,600,YE,Locals,Female,False,GRAD,25-44
223838,back pain,1000,PS,Locals,Female,False,GRAD,25-44
223941,back pain,42000,DZ,Locals,Female,False,ND,25-44
223942,back pain,130,BH,Locals,Female,False,ND,25-44
223943,back pain,14000,EG,Locals,Female,False,ND,25-44
223944,back pain,2000,IQ,Locals,Female,False,ND,25-44
223945,back pain,1000,JO,Locals,Female,False,ND,25-44
223946,back pain,320,KW,Locals,Female,False,ND,25-44
223947,back pain,3800,LB,Locals,Female,False,ND,25-44
223948,back pain,6200,LY,Locals,Female,False,ND,25-44
223949,back pain,930,MA,Locals,Female,False,ND,25-44
223950,back pain,350,OM,Locals,Female,False,ND,25-44
223951,back pain,150,QA,Locals,Female,False,ND,25-44
223952,back pain,4600,SA,Locals,Female,False,ND,25-44
223953,back pain,0,SO,Locals,Female,False,ND,25-44
223954,back pain,3300,TN,Locals,Female,False,ND,25-44
223955,back pain,610,AE,Locals,Female,False,ND,25-44
223956,back pain,400,YE,Locals,Female,False,ND,25-44
223957,back pain,910,PS,Locals,Female,False,ND,25-44
224060,back pain,7400,DZ,Locals,Female,False,HS,25-44
224061,back pain,40,BH,Locals,Female,False,HS,25-44
224062,back pain,4500,EG,Locals,Female,False,HS,25-44
224063,back pain,490,IQ,Locals,Female,False,HS,25-44
224064,back pain,370,JO,Locals,Female,False,HS,25-44
224065,back pain,100,KW,Locals,Female,False,HS,25-44
224066,back pain,880,LB,Locals,Female,False,HS,25-44
224067,back pain,940,LY,Locals,Female,False,HS,25-44
224068,back pain,310,MA,Locals,Female,False,HS,25-44
224069,back pain,0,OM,Locals,Female,False,HS,25-44
224070,back pain,40,QA,Locals,Female,False,HS,25-44
224071,back pain,620,SA,Locals,Female,False,HS,25-44
224072,back pain,0,SO,Locals,Female,False,HS,25-44
224073,back pain,790,TN,Locals,Female,False,HS,25-44
224074,back pain,140,AE,Locals,Female,False,HS,25-44
224075,back pain,140,YE,Locals,Female,False,HS,25-44
224076,back pain,310,PS,Locals,Female,False,HS,25-44
226202,back pain,10000,DZ,Locals,Male,False,GRAD,45+
226203,back pain,40,BH,Locals,Male,False,GRAD,45+
226204,back pain,12000,EG,Locals,Male,False,GRAD,45+
226205,back pain,6000,IQ,Locals,Male,False,GRAD,45+
226206,back pain,1100,JO,Locals,Male,False,GRAD,45+
226207,back pain,130,KW,Locals,Male,False,GRAD,45+
226208,back pain,860,LB,Locals,Male,False,GRAD,45+
226209,back pain,2200,LY,Locals,Male,False,GRAD,45+
226210,back pain,230,MA,Locals,Male,False,GRAD,45+
226211,back pain,70,OM,Locals,Male,False,GRAD,45+
226212,back pain,100,QA,Locals,Male,False,GRAD,45+
226213,back pain,1200,SA,Locals,Male,False,GRAD,45+
226214,back pain,0,SO,Locals,Male,False,GRAD,45+
226215,back pain,3500,TN,Locals,Male,False,GRAD,45+
226216,back pain,370,AE,Locals,Male,False,GRAD,45+
226217,back pain,500,YE,Locals,Male,False,GRAD,45+
226218,back pain,530,PS,Locals,Male,False,GRAD,45+
226321,back pain,25000,DZ,Locals,Male,False,ND,45+
226322,back pain,50,BH,Locals,Male,False,ND,45+
226323,back pain,14000,EG,Locals,Male,False,ND,45+
226324,back pain,10000,IQ,Locals,Male,False,ND,45+
226325,back pain,1600,JO,Locals,Male,False,ND,45+
226326,back pain,150,KW,Locals,Male,False,ND,45+
226327,back pain,1600,LB,Locals,Male,False,ND,45+
226328,back pain,5400,LY,Locals,Male,False,ND,45+
226329,back pain,440,MA,Locals,Male,False,ND,45+
226330,back pain,60,OM,Locals,Male,False,ND,45+
226331,back pain,80,QA,Locals,Male,False,ND,45+
226332,back pain,4900,SA,Locals,Male,False,ND,45+
226333,back pain,0,SO,Locals,Male,False,ND,45+
226334,back pain,6800,TN,Locals,Male,False,ND,45+
226335,back pain,800,AE,Locals,Male,False,ND,45+
226336,back pain,510,YE,Locals,Male,False,ND,45+
226337,back pain,720,PS,Locals,Male,False,ND,45+
226440,back pain,4200,DZ,Locals,Male,False,HS,45+
226441,back pain,0,BH,Locals,Male,False,HS,45+
226442,back pain,2800,EG,Locals,Male,False,HS,45+
226443,back pain,1900,IQ,Locals,Male,False,HS,45+
226444,back pain,420,JO,Locals,Male,False,HS,45+
226445,back pain,40,KW,Locals,Male,False,HS,45+
226446,back pain,280,LB,Locals,Male,False,HS,45+
226447,back pain,730,LY,Locals,Male,False,HS,45+
226448,back pain,90,MA,Locals,Male,False,HS,45+
226449,back pain,0,OM,Locals,Male,False,HS,45+
226450,back pain,40,QA,Locals,Male,False,HS,45+
226451,back pain,540,SA,Locals,Male,False,HS,45+
226452,back pain,0,SO,Locals,Male,False,HS,45+
226453,back pain,1700,TN,Locals,Male,False,HS,45+
226454,back pain,110,AE,Locals,Male,False,HS,45+
226455,back pain,150,YE,Locals,Male,False,HS,45+
226456,back pain,220,PS,Locals,Male,False,HS,45+
227392,back pain,4000,DZ,Locals,Female,False,GRAD,45+
227393,back pain,30,BH,Locals,Female,False,GRAD,45+
227394,back pain,11000,EG,Locals,Female,False,GRAD,45+
227395,back pain,2200,IQ,Locals,Female,False,GRAD,45+
227396,back pain,500,JO,Locals,Female,False,GRAD,45+
227397,back pain,80,KW,Locals,Female,False,GRAD,45+
227398,back pain,1100,LB,Locals,Female,False,GRAD,45+
227399,back pain,930,LY,Locals,Female,False,GRAD,45+
227400,back pain,210,MA,Locals,Female,False,GRAD,45+
227401,back pain,0,OM,Locals,Female,False,GRAD,45+
227402,back pain,90,QA,Locals,Female,False,GRAD,45+
227403,back pain,430,SA,Locals,Female,False,GRAD,45+
227404,back pain,0,SO,Locals,Female,False,GRAD,45+
227405,back pain,870,TN,Locals,Female,False,GRAD,45+
227406,back pain,230,AE,Locals,Female,False,GRAD,45+
227407,back pain,70,YE,Locals,Female,False,GRAD,45+
227408,back pain,580,PS,Locals,Female,False,GRAD,45+
227511,back pain,9800,DZ,Locals,Female,False,ND,45+
227512,back pain,30,BH,Locals,Female,False,ND,45+
227513,back pain,19000,EG,Locals,Female,False,ND,45+
227514,back pain,4500,IQ,Locals,Female,False,ND,45+
227515,back pain,1300,JO,Locals,Female,False,ND,45+
227516,back pain,110,KW,Locals,Female,False,ND,45+
227517,back pain,2600,LB,Locals,Female,False,ND,45+
227518,back pain,3300,LY,Locals,Female,False,ND,45+
227519,back pain,290,MA,Locals,Female,False,ND,45+
227520,back pain,40,OM,Locals,Female,False,ND,45+
227521,back pain,120,QA,Locals,Female,False,ND,45+
227522,back pain,1200,SA,Locals,Female,False,ND,45+
227523,back pain,0,SO,Locals,Female,False,ND,45+
227524,back pain,2800,TN,Locals,Female,False,ND,45+
227525,back pain,350,AE,Locals,Female,False,ND,45+
227526,back pain,100,YE,Locals,Female,False,ND,45+
227527,back pain,1300,PS,Locals,Female,False,ND,45+
227630,back pain,1900,DZ,Locals,Female,False,HS,45+
227631,back pain,0,BH,Locals,Female,False,HS,45+
227632,back pain,2500,EG,Locals,Female,False,HS,45+
227633,back pain,730,IQ,Locals,Female,False,HS,45+
227634,back pain,250,JO,Locals,Female,False,HS,45+
227635,back pain,0,KW,Locals,Female,False,HS,45+
227636,back pain,350,LB,Locals,Female,False,HS,45+
227637,back pain,330,LY,Locals,Female,False,HS,45+
227638,back pain,100,MA,Locals,Female,False,HS,45+
227639,back pain,0,OM,Locals,Female,False,HS,45+
227640,back pain,30,QA,Locals,Female,False,HS,45+
227641,back pain,150,SA,Locals,Female,False,HS,45+
227642,back pain,0,SO,Locals,Female,False,HS,45+
227643,back pain,710,TN,Locals,Female,False,HS,45+
227644,back pain,90,AE,Locals,Female,False,HS,45+
227645,back pain,0,YE,Locals,Female,False,HS,45+
227646,back pain,250,PS,Locals,Female,False,HS,45+
244052,luxury,920000,DZ,Locals,Male,False,GRAD,18-24
244053,luxury,11000,BH,Locals,Male,False,GRAD,18-24
244054,luxury,2300000,EG,Locals,Male,False,GRAD,18-24
244055,luxury,900000,IQ,Locals,Male,False,GRAD,18-24
244056,luxury,210000,JO,Locals,Male,False,GRAD,18-24
244057,luxury,13000,KW,Locals,Male,False,GRAD,18-24
244058,luxury,85000,LB,Locals,Male,False,GRAD,18-24
244059,luxury,130000,LY,Locals,Male,False,GRAD,18-24
244060,luxury,960000,MA,Locals,Male,False,GRAD,18-24
244061,luxury,28000,OM,Locals,Male,False,GRAD,18-24
244062,luxury,22000,QA,Locals,Male,False,GRAD,18-24
244063,luxury,320000,SA,Locals,Male,False,GRAD,18-24
244064,luxury,55000,SO,Locals,Male,False,GRAD,18-24
244065,luxury,300000,TN,Locals,Male,False,GRAD,18-24
244066,luxury,76000,AE,Locals,Male,False,GRAD,18-24
244067,luxury,150000,YE,Locals,Male,False,GRAD,18-24
244068,luxury,87000,PS,Locals,Male,False,GRAD,18-24
244171,luxury,1800000,DZ,Locals,Male,False,ND,18-24
244172,luxury,35000,BH,Locals,Male,False,ND,18-24
244173,luxury,2600000,EG,Locals,Male,False,ND,18-24
244174,luxury,2000000,IQ,Locals,Male,False,ND,18-24
244175,luxury,360000,JO,Locals,Male,False,ND,18-24
244176,luxury,79000,KW,Locals,Male,False,ND,18-24
244177,luxury,230000,LB,Locals,Male,False,ND,18-24
244178,luxury,210000,LY,Locals,Male,False,ND,18-24
244179,luxury,1300000,MA,Locals,Male,False,ND,18-24
244180,luxury,100000,OM,Locals,Male,False,ND,18-24
244181,luxury,88000,QA,Locals,Male,False,ND,18-24
244182,luxury,1800000,SA,Locals,Male,False,ND,18-24
244183,luxury,120000,SO,Locals,Male,False,ND,18-24
244184,luxury,430000,TN,Locals,Male,False,ND,18-24
244185,luxury,260000,AE,Locals,Male,False,ND,18-24
244186,luxury,300000,YE,Locals,Male,False,ND,18-24
244187,luxury,92000,PS,Locals,Male,False,ND,18-24
244290,luxury,420000,DZ,Locals,Male,False,HS,18-24
244291,luxury,6800,BH,Locals,Male,False,HS,18-24
244292,luxury,1200000,EG,Locals,Male,False,HS,18-24
244293,luxury,540000,IQ,Locals,Male,False,HS,18-24
244294,luxury,160000,JO,Locals,Male,False,HS,18-24
244295,luxury,7500,KW,Locals,Male,False,HS,18-24
244296,luxury,65000,LB,Locals,Male,False,HS,18-24
244297,luxury,71000,LY,Locals,Male,False,HS,18-24
244298,luxury,410000,MA,Locals,Male,False,HS,18-24
244299,luxury,14000,OM,Locals,Male,False,HS,18-24
244300,luxury,10000,QA,Locals,Male,False,HS,18-24
244301,luxury,180000,SA,Locals,Male,False,HS,18-24
244302,luxury,19000,SO,Locals,Male,False,HS,18-24
244303,luxury,160000,TN,Locals,Male,False,HS,18-24
244304,luxury,32000,AE,Locals,Male,False,HS,18-24
244305,luxury,91000,YE,Locals,Male,False,HS,18-24
244306,luxury,53000,PS,Locals,Male,False,HS,18-24
245242,luxury,670000,DZ,Locals,Female,False,GRAD,18-24
245243,luxury,5500,BH,Locals,Female,False,GRAD,18-24
245244,luxury,1500000,EG,Locals,Female,False,GRAD,18-24
245245,luxury,310000,IQ,Locals,Female,False,GRAD,18-24
245246,luxury,150000,JO,Locals,Female,False,GRAD,18-24
245247,luxury,6600,KW,Locals,Female,False,GRAD,18-24
245248,luxury,73000,LB,Locals,Female,False,GRAD,18-24
245249,luxury,100000,LY,Locals,Female,False,GRAD,18-24
245250,luxury,560000,MA,Locals,Female,False,GRAD,18-24
245251,luxury,7500,OM,Locals,Female,False,GRAD,18-24
245252,luxury,8200,QA,Locals,Female,False,GRAD,18-24
245253,luxury,110000,SA,Locals,Female,False,GRAD,18-24
245254,luxury,30000,SO,Locals,Female,False,GRAD,18-24
245255,luxury,290000,TN,Locals,Female,False,GRAD,18-24
245256,luxury,31000,AE,Locals,Female,False,GRAD,18-24
245257,luxury,25000,YE,Locals,Female,False,GRAD,18-24
245258,luxury,76000,PS,Locals,Female,False,GRAD,18-24
245361,luxury,1400000,DZ,Locals,Female,False,ND,18-24
245362,luxury,14000,BH,Locals,Female,False,ND,18-24
245363,luxury,1600000,EG,Locals,Female,False,ND,18-24
245364,luxury,890000,IQ,Locals,Female,False,ND,18-24
245365,luxury,300000,JO,Locals,Female,False,ND,18-24
245366,luxury,35000,KW,Locals,Female,False,ND,18-24
245367,luxury,160000,LB,Locals,Female,False,ND,18-24
245368,luxury,150000,LY,Locals,Female,False,ND,18-24
245369,luxury,870000,MA,Locals,Female,False,ND,18-24
245370,luxury,30000,OM,Locals,Female,False,ND,18-24
245371,luxury,25000,QA,Locals,Female,False,ND,18-24
245372,luxury,540000,SA,Locals,Female,False,ND,18-24
245373,luxury,95000,SO,Locals,Female,False,ND,18-24
245374,luxury,390000,TN,Locals,Female,False,ND,18-24
245375,luxury,94000,AE,Locals,Female,False,ND,18-24
