,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,topic,location
2195,45+,0,ALL,Nepal,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2196,18-24,520,ALL,Philippines,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2197,25-44,1100,ALL,Philippines,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2198,45+,180,ALL,Philippines,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2199,18-24,130,ALL,Philippines,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2200,25-44,130,ALL,Philippines,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2201,45+,0,ALL,Philippines,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2202,18-24,850,ALL,Philippines,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2203,25-44,1400,ALL,Philippines,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2204,45+,470,ALL,Philippines,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2205,18-24,110,ALL,Philippines,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2206,25-44,100,ALL,Philippines,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2207,45+,0,ALL,Philippines,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2208,18-24,210,ALL,Philippines,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2209,25-44,270,ALL,Philippines,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2210,45+,60,ALL,Philippines,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2211,18-24,60,ALL,Philippines,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2212,25-44,70,ALL,Philippines,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2213,45+,0,ALL,Philippines,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2214,18-24,76000,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2215,25-44,61000,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2216,45+,7400,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2217,18-24,21000,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2218,25-44,14000,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2219,45+,2700,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2220,18-24,31000,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2221,25-44,34000,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2222,45+,6300,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2223,18-24,14000,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2224,25-44,9500,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2225,45+,2600,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2226,18-24,29000,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2227,25-44,13000,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2228,45+,2300,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2229,18-24,9100,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2230,25-44,3000,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2231,45+,970,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2232,18-24,470000,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2233,25-44,740000,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2234,45+,89000,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2235,18-24,300000,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2236,25-44,400000,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
