,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,topic,location
12907,25-44,450,ALL,Philippines,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,DZ
12908,45+,70,ALL,Philippines,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,DZ
12909,18-24,110,ALL,Philippines,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,DZ
12910,25-44,50,ALL,Philippines,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,DZ
12911,45+,0,ALL,Philippines,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,DZ
12912,18-24,180,ALL,Philippines,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,DZ
12913,25-44,450,ALL,Philippines,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,DZ
12914,45+,130,ALL,Philippines,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,DZ
12915,18-24,0,ALL,Philippines,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,DZ
12916,25-44,30,ALL,Philippines,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,DZ
12917,45+,0,ALL,Philippines,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,DZ
12918,18-24,80,ALL,Philippines,1.0,NOTSELECTED,High School,1489924519,luxury goods,DZ
12919,25-44,110,ALL,Philippines,1.0,NOTSELECTED,High School,1489924519,luxury goods,DZ
12920,45+,30,ALL,Philippines,1.0,NOTSELECTED,High School,1489924519,luxury goods,DZ
12921,18-24,0,ALL,Philippines,2.0,NOTSELECTED,High School,1489924519,luxury goods,DZ
12922,25-44,0,ALL,Philippines,2.0,NOTSELECTED,High School,1489924519,luxury goods,DZ
12923,45+,0,ALL,Philippines,2.0,NOTSELECTED,High School,1489924519,luxury goods,DZ
12924,18-24,41000,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,DZ
12925,25-44,32000,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,DZ
12926,45+,3400,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,DZ
12927,18-24,15000,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,DZ
12928,25-44,9400,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,DZ
12929,45+,1400,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,DZ
12930,18-24,15000,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,DZ
12931,25-44,15000,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,DZ
12932,45+,2700,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,DZ
12933,18-24,8500,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,DZ
12934,25-44,5300,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,DZ
12935,45+,1200,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,DZ
12936,18-24,16000,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1489924519,luxury goods,DZ
12937,25-44,7000,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1489924519,luxury goods,DZ
12938,45+,1100,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1489924519,luxury goods,DZ
12939,18-24,6800,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1489924519,luxury goods,DZ
12940,25-44,2000,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1489924519,luxury goods,DZ
12941,45+,540,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1489924519,luxury goods,DZ
12942,18-24,230000,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,DZ
12943,25-44,380000,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,DZ
12944,45+,38000,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,DZ
12945,18-24,220000,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,DZ
12946,25-44,290000,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,DZ
12947,45+,22000,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,DZ
12948,18-24,210000,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,DZ
12949,25-44,390000,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,DZ
12950,45+,57000,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,DZ
12951,18-24,250000,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,DZ
12952,25-44,290000,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,DZ
12953,45+,40000,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,DZ
12954,18-24,110000,ALL,Not Expats,1.0,NOTSELECTED,High School,1489924519,luxury goods,DZ
12955,25-44,100000,ALL,Not Expats,1.0,NOTSELECTED,High School,1489924519,luxury goods,DZ
12956,45+,14000,ALL,Not Expats,1.0,NOTSELECTED,High School,1489924519,luxury goods,DZ
12957,18-24,110000,ALL,Not Expats,2.0,NOTSELECTED,High School,1489924519,luxury goods,DZ
12958,25-44,67000,ALL,Not Expats,2.0,NOTSELECTED,High School,1489924519,luxury goods,DZ
12959,45+,10000,ALL,Not Expats,2.0,NOTSELECTED,High School,1489924519,luxury goods,DZ
