,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,topic,location
6483,18-24,0,ALL,Philippines,2.0,NOTSELECTED,Graduated,1489924519,obesity,DZ
6484,25-44,0,ALL,Philippines,2.0,NOTSELECTED,Graduated,1489924519,obesity,DZ
6485,45+,0,ALL,Philippines,2.0,NOTSELECTED,Graduated,1489924519,obesity,DZ
6486,18-24,90,ALL,Philippines,1.0,NOTSELECTED,No Degree,1489924519,obesity,DZ
6487,25-44,170,ALL,Philippines,1.0,NOTSELECTED,No Degree,1489924519,obesity,DZ
6488,45+,80,ALL,Philippines,1.0,NOTSELECTED,No Degree,1489924519,obesity,DZ
6489,18-24,0,ALL,Philippines,2.0,NOTSELECTED,No Degree,1489924519,obesity,DZ
6490,25-44,50,ALL,Philippines,2.0,NOTSELECTED,No Degree,1489924519,obesity,DZ
6491,45+,0,ALL,Philippines,2.0,NOTSELECTED,No Degree,1489924519,obesity,DZ
6492,18-24,30,ALL,Philippines,1.0,NOTSELECTED,High School,1489924519,obesity,DZ
6493,25-44,0,ALL,Philippines,1.0,NOTSELECTED,High School,1489924519,obesity,DZ
6494,45+,0,ALL,Philippines,1.0,NOTSELECTED,High School,1489924519,obesity,DZ
6495,18-24,0,ALL,Philippines,2.0,NOTSELECTED,High School,1489924519,obesity,DZ
6496,25-44,0,ALL,Philippines,2.0,NOTSELECTED,High School,1489924519,obesity,DZ
6497,45+,0,ALL,Philippines,2.0,NOTSELECTED,High School,1489924519,obesity,DZ
6498,18-24,13000,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,Graduated,1489924519,obesity,DZ
6499,25-44,9200,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,Graduated,1489924519,obesity,DZ
6500,45+,990,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,Graduated,1489924519,obesity,DZ
6501,18-24,5600,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1489924519,obesity,DZ
6502,25-44,4000,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1489924519,obesity,DZ
6503,45+,690,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1489924519,obesity,DZ
6504,18-24,5200,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1489924519,obesity,DZ
6505,25-44,5700,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1489924519,obesity,DZ
6506,45+,960,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1489924519,obesity,DZ
6507,18-24,3400,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1489924519,obesity,DZ
6508,25-44,2700,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1489924519,obesity,DZ
6509,45+,770,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1489924519,obesity,DZ
6510,18-24,5100,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1489924519,obesity,DZ
6511,25-44,2200,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1489924519,obesity,DZ
6512,45+,350,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1489924519,obesity,DZ
6513,18-24,2300,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1489924519,obesity,DZ
6514,25-44,790,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1489924519,obesity,DZ
6515,45+,220,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1489924519,obesity,DZ
6516,18-24,78000,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1489924519,obesity,DZ
6517,25-44,110000,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1489924519,obesity,DZ
6518,45+,11000,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1489924519,obesity,DZ
6519,18-24,83000,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1489924519,obesity,DZ
6520,25-44,110000,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1489924519,obesity,DZ
6521,45+,11000,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1489924519,obesity,DZ
6522,18-24,89000,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1489924519,obesity,DZ
6523,25-44,150000,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1489924519,obesity,DZ
6524,45+,22000,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1489924519,obesity,DZ
6525,18-24,130000,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1489924519,obesity,DZ
6526,25-44,170000,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1489924519,obesity,DZ
6527,45+,29000,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1489924519,obesity,DZ
6528,18-24,38000,ALL,Not Expats,1.0,NOTSELECTED,High School,1489924519,obesity,DZ
6529,25-44,32000,ALL,Not Expats,1.0,NOTSELECTED,High School,1489924519,obesity,DZ
6530,45+,4400,ALL,Not Expats,1.0,NOTSELECTED,High School,1489924519,obesity,DZ
6531,18-24,44000,ALL,Not Expats,2.0,NOTSELECTED,High School,1489924519,obesity,DZ
6532,25-44,30000,ALL,Not Expats,2.0,NOTSELECTED,High School,1489924519,obesity,DZ
6533,45+,5300,ALL,Not Expats,2.0,NOTSELECTED,High School,1489924519,obesity,DZ
6534,18-24,5000,ALL,Others,1.0,NOTSELECTED,Graduated,1489924519,obesity,DZ
6535,25-44,6800,ALL,Others,1.0,NOTSELECTED,Graduated,1489924519,obesity,DZ
6536,45+,1100,ALL,Others,1.0,NOTSELECTED,Graduated,1489924519,obesity,DZ
6537,18-24,3900,ALL,Others,2.0,NOTSELECTED,Graduated,1489924519,obesity,DZ
6538,25-44,5000,ALL,Others,2.0,NOTSELECTED,Graduated,1489924519,obesity,DZ
6539,45+,880,ALL,Others,2.0,NOTSELECTED,Graduated,1489924519,obesity,DZ
6540,18-24,5200,ALL,Others,1.0,NOTSELECTED,No Degree,1489924519,obesity,DZ
6541,25-44,9500,ALL,Others,1.0,NOTSELECTED,No Degree,1489924519,obesity,DZ
