,Unnamed: 0.1,ages_ranges,genders,behavior,scholarities,relationship_statuses,audience,timestamp,topic,location
9244,9244,25-44,2.0,Locals,No Degree,NOTSELECTED,19000,1487518519.22,luxury,BH
9245,9245,45+,2.0,Locals,No Degree,NOTSELECTED,3900,1487518519.22,luxury,BH
9246,9246,18-24,1.0,Locals,High School,NOTSELECTED,5000,1487518519.22,luxury,BH
9247,9247,25-44,1.0,Locals,High School,NOTSELECTED,6800,1487518519.22,luxury,BH
9248,9248,45+,1.0,Locals,High School,NOTSELECTED,1400,1487518519.22,luxury,BH
9249,9249,18-24,2.0,Locals,High School,NOTSELECTED,4600,1487518519.22,luxury,BH
9250,9250,25-44,2.0,Locals,High School,NOTSELECTED,3600,1487518519.22,luxury,BH
9251,9251,45+,2.0,Locals,High School,NOTSELECTED,480,1487518519.22,luxury,BH
9252,9252,18-24,1.0,Expats,Graduated,NOTSELECTED,130000,1487518519.22,luxury,EG
9253,9253,25-44,1.0,Expats,Graduated,NOTSELECTED,250000,1487518519.22,luxury,EG
9254,9254,45+,1.0,Expats,Graduated,NOTSELECTED,42000,1487518519.22,luxury,EG
9255,9255,18-24,2.0,Expats,Graduated,NOTSELECTED,57000,1487518519.22,luxury,EG
9256,9256,25-44,2.0,Expats,Graduated,NOTSELECTED,93000,1487518519.22,luxury,EG
9257,9257,45+,2.0,Expats,Graduated,NOTSELECTED,16000,1487518519.22,luxury,EG
9258,9258,18-24,1.0,Expats,No Degree,NOTSELECTED,110000,1487518519.22,luxury,EG
9259,9259,25-44,1.0,Expats,No Degree,NOTSELECTED,170000,1487518519.22,luxury,EG
9260,9260,45+,1.0,Expats,No Degree,NOTSELECTED,38000,1487518519.22,luxury,EG
9261,9261,18-24,2.0,Expats,No Degree,NOTSELECTED,58000,1487518519.22,luxury,EG
9262,9262,25-44,2.0,Expats,No Degree,NOTSELECTED,71000,1487518519.22,luxury,EG
9263,9263,45+,2.0,Expats,No Degree,NOTSELECTED,20000,1487518519.22,luxury,EG
9264,9264,18-24,1.0,Expats,High School,NOTSELECTED,68000,1487518519.22,luxury,EG
9265,9265,25-44,1.0,Expats,High School,NOTSELECTED,58000,1487518519.22,luxury,EG
9266,9266,45+,1.0,Expats,High School,NOTSELECTED,11000,1487518519.22,luxury,EG
9267,9267,18-24,2.0,Expats,High School,NOTSELECTED,39000,1487518519.22,luxury,EG
9268,9268,25-44,2.0,Expats,High School,NOTSELECTED,24000,1487518519.22,luxury,EG
9269,9269,45+,2.0,Expats,High School,NOTSELECTED,5000,1487518519.22,luxury,EG
9270,9270,18-24,1.0,Locals,Graduated,NOTSELECTED,2200000,1487518519.22,luxury,EG
9271,9271,25-44,1.0,Locals,Graduated,NOTSELECTED,3800000,1487518519.22,luxury,EG
9272,9272,45+,1.0,Locals,Graduated,NOTSELECTED,640000,1487518519.22,luxury,EG
9273,9273,18-24,2.0,Locals,Graduated,NOTSELECTED,1500000,1487518519.22,luxury,EG
9274,9274,25-44,2.0,Locals,Graduated,NOTSELECTED,2000000,1487518519.22,luxury,EG
9275,9275,45+,2.0,Locals,Graduated,NOTSELECTED,270000,1487518519.22,luxury,EG
9276,9276,18-24,1.0,Locals,No Degree,NOTSELECTED,2800000,1487518519.22,luxury,EG
9277,9277,25-44,1.0,Locals,No Degree,NOTSELECTED,4000000,1487518519.22,luxury,EG
9278,9278,45+,1.0,Locals,No Degree,NOTSELECTED,1100000,1487518519.22,luxury,EG
9279,9279,18-24,2.0,Locals,No Degree,NOTSELECTED,1800000,1487518519.22,luxury,EG
9280,9280,25-44,2.0,Locals,No Degree,NOTSELECTED,1900000,1487518519.22,luxury,EG
9281,9281,45+,2.0,Locals,No Degree,NOTSELECTED,580000,1487518519.22,luxury,EG
9282,9282,18-24,1.0,Locals,High School,NOTSELECTED,1300000,1487518519.22,luxury,EG
9283,9283,25-44,1.0,Locals,High School,NOTSELECTED,950000,1487518519.22,luxury,EG
9284,9284,45+,1.0,Locals,High School,NOTSELECTED,170000,1487518519.22,luxury,EG
9285,9285,18-24,2.0,Locals,High School,NOTSELECTED,1000000,1487518519.22,luxury,EG
9286,9286,25-44,2.0,Locals,High School,NOTSELECTED,420000,1487518519.22,luxury,EG
9287,9287,45+,2.0,Locals,High School,NOTSELECTED,69000,1487518519.22,luxury,EG
9288,9288,18-24,1.0,Expats,Graduated,NOTSELECTED,94000,1487518519.22,luxury,IQ
9289,9289,25-44,1.0,Expats,Graduated,NOTSELECTED,180000,1487518519.22,luxury,IQ
9290,9290,45+,1.0,Expats,Graduated,NOTSELECTED,25000,1487518519.22,luxury,IQ
9291,9291,18-24,2.0,Expats,Graduated,NOTSELECTED,25000,1487518519.22,luxury,IQ
9292,9292,25-44,2.0,Expats,Graduated,NOTSELECTED,35000,1487518519.22,luxury,IQ
9293,9293,45+,2.0,Expats,Graduated,NOTSELECTED,4100,1487518519.22,luxury,IQ
9294,9294,18-24,1.0,Expats,No Degree,NOTSELECTED,110000,1487518519.22,luxury,IQ
9295,9295,25-44,1.0,Expats,No Degree,NOTSELECTED,140000,1487518519.22,luxury,IQ
9296,9296,45+,1.0,Expats,No Degree,NOTSELECTED,25000,1487518519.22,luxury,IQ
9297,9297,18-24,2.0,Expats,No Degree,NOTSELECTED,51000,1487518519.22,luxury,IQ
9298,9298,25-44,2.0,Expats,No Degree,NOTSELECTED,44000,1487518519.22,luxury,IQ
9299,9299,45+,2.0,Expats,No Degree,NOTSELECTED,7200,1487518519.22,luxury,IQ
9300,9300,18-24,1.0,Expats,High School,NOTSELECTED,48000,1487518519.22,luxury,IQ
9301,9301,25-44,1.0,Expats,High School,NOTSELECTED,52000,1487518519.22,luxury,IQ
9302,9302,45+,1.0,Expats,High School,NOTSELECTED,7300,1487518519.22,luxury,IQ
9303,9303,18-24,2.0,Expats,High School,NOTSELECTED,17000,1487518519.22,luxury,IQ
9304,9304,25-44,2.0,Expats,High School,NOTSELECTED,12000,1487518519.22,luxury,IQ
9305,9305,45+,2.0,Expats,High School,NOTSELECTED,1500,1487518519.22,luxury,IQ
9306,9306,18-24,1.0,Locals,Graduated,NOTSELECTED,890000,1487518519.22,luxury,IQ
9307,9307,25-44,1.0,Locals,Graduated,NOTSELECTED,1600000,1487518519.22,luxury,IQ
9308,9308,45+,1.0,Locals,Graduated,NOTSELECTED,240000,1487518519.22,luxury,IQ
9309,9309,18-24,2.0,Locals,Graduated,NOTSELECTED,300000,1487518519.22,luxury,IQ
9310,9310,25-44,2.0,Locals,Graduated,NOTSELECTED,400000,1487518519.22,luxury,IQ
9311,9311,45+,2.0,Locals,Graduated,NOTSELECTED,59000,1487518519.22,luxury,IQ
9312,9312,18-24,1.0,Locals,No Degree,NOTSELECTED,2200000,1487518519.22,luxury,IQ
9313,9313,25-44,1.0,Locals,No Degree,NOTSELECTED,2200000,1487518519.22,luxury,IQ
9314,9314,45+,1.0,Locals,No Degree,NOTSELECTED,500000,1487518519.22,luxury,IQ
9315,9315,18-24,2.0,Locals,No Degree,NOTSELECTED,920000,1487518519.22,luxury,IQ
9316,9316,25-44,2.0,Locals,No Degree,NOTSELECTED,750000,1487518519.22,luxury,IQ
9317,9317,45+,2.0,Locals,No Degree,NOTSELECTED,180000,1487518519.22,luxury,IQ
9318,9318,18-24,1.0,Locals,High School,NOTSELECTED,560000,1487518519.22,luxury,IQ
9319,9319,25-44,1.0,Locals,High School,NOTSELECTED,500000,1487518519.22,luxury,IQ
9320,9320,45+,1.0,Locals,High School,NOTSELECTED,82000,1487518519.22,luxury,IQ
9321,9321,18-24,2.0,Locals,High School,NOTSELECTED,270000,1487518519.22,luxury,IQ
9322,9322,25-44,2.0,Locals,High School,NOTSELECTED,140000,1487518519.22,luxury,IQ
9323,9323,45+,2.0,Locals,High School,NOTSELECTED,22000,1487518519.22,luxury,IQ
9324,9324,18-24,1.0,Expats,Graduated,NOTSELECTED,67000,1487518519.22,luxury,JO
9325,9325,25-44,1.0,Expats,Graduated,NOTSELECTED,150000,1487518519.22,luxury,JO
9326,9326,45+,1.0,Expats,Graduated,NOTSELECTED,25000,1487518519.22,luxury,JO
9327,9327,18-24,2.0,Expats,Graduated,NOTSELECTED,39000,1487518519.22,luxury,JO
9328,9328,25-44,2.0,Expats,Graduated,NOTSELECTED,82000,1487518519.22,luxury,JO
9329,9329,45+,2.0,Expats,Graduated,NOTSELECTED,17000,1487518519.22,luxury,JO
9330,9330,18-24,1.0,Expats,No Degree,NOTSELECTED,110000,1487518519.22,luxury,JO
9331,9331,25-44,1.0,Expats,No Degree,NOTSELECTED,170000,1487518519.22,luxury,JO
9332,9332,45+,1.0,Expats,No Degree,NOTSELECTED,37000,1487518519.22,luxury,JO
9333,9333,18-24,2.0,Expats,No Degree,NOTSELECTED,68000,1487518519.22,luxury,JO
9334,9334,25-44,2.0,Expats,No Degree,NOTSELECTED,81000,1487518519.22,luxury,JO
9335,9335,45+,2.0,Expats,No Degree,NOTSELECTED,28000,1487518519.22,luxury,JO
