,ages_ranges,genders,behavior,scholarities,audience,topic,location
1939,25-44,1.0,Locals,High School,3900,Peace,Arizona
1940,45+,1.0,Locals,High School,5600,Peace,Arizona
1941,18-24,2.0,Locals,High School,6200,Peace,Arizona
1942,25-44,2.0,Locals,High School,13000,Peace,Arizona
1943,45+,2.0,Locals,High School,20000,Peace,Arizona
1944,18-24,1.0,Expats,Graduated,70,Peace,Arkansas
1945,25-44,1.0,Expats,Graduated,710,Peace,Arkansas
1946,45+,1.0,Expats,Graduated,130,Peace,Arkansas
1947,18-24,2.0,Expats,Graduated,90,Peace,Arkansas
1948,25-44,2.0,Expats,Graduated,520,Peace,Arkansas
1949,45+,2.0,Expats,Graduated,390,Peace,Arkansas
1950,18-24,1.0,Expats,No Degree,70,Peace,Arkansas
1951,25-44,1.0,Expats,No Degree,480,Peace,Arkansas
1952,45+,1.0,Expats,No Degree,190,Peace,Arkansas
1953,18-24,2.0,Expats,No Degree,70,Peace,Arkansas
1954,25-44,2.0,Expats,No Degree,520,Peace,Arkansas
1955,45+,2.0,Expats,No Degree,300,Peace,Arkansas
1956,18-24,1.0,Expats,High School,140,Peace,Arkansas
1957,25-44,1.0,Expats,High School,280,Peace,Arkansas
1958,45+,1.0,Expats,High School,120,Peace,Arkansas
1959,18-24,2.0,Expats,High School,140,Peace,Arkansas
1960,25-44,2.0,Expats,High School,390,Peace,Arkansas
1961,45+,2.0,Expats,High School,210,Peace,Arkansas
1962,18-24,1.0,Locals,Graduated,530,Peace,Arkansas
1963,25-44,1.0,Locals,Graduated,3400,Peace,Arkansas
1964,45+,1.0,Locals,Graduated,5900,Peace,Arkansas
1965,18-24,2.0,Locals,Graduated,1800,Peace,Arkansas
1966,25-44,2.0,Locals,Graduated,14000,Peace,Arkansas
1967,45+,2.0,Locals,Graduated,19000,Peace,Arkansas
1968,18-24,1.0,Locals,No Degree,270,Peace,Arkansas
1969,25-44,1.0,Locals,No Degree,930,Peace,Arkansas
1970,45+,1.0,Locals,No Degree,2400,Peace,Arkansas
1971,18-24,2.0,Locals,No Degree,900,Peace,Arkansas
1972,25-44,2.0,Locals,No Degree,2900,Peace,Arkansas
1973,45+,2.0,Locals,No Degree,7800,Peace,Arkansas
1974,18-24,1.0,Locals,High School,860,Peace,Arkansas
1975,25-44,1.0,Locals,High School,2600,Peace,Arkansas
1976,45+,1.0,Locals,High School,4100,Peace,Arkansas
1977,18-24,2.0,Locals,High School,3500,Peace,Arkansas
1978,25-44,2.0,Locals,High School,9200,Peace,Arkansas
1979,45+,2.0,Locals,High School,15000,Peace,Arkansas
1980,18-24,1.0,Expats,Graduated,3200,Peace,California
1981,25-44,1.0,Expats,Graduated,21000,Peace,California
1982,45+,1.0,Expats,Graduated,13000,Peace,California
1983,18-24,2.0,Expats,Graduated,3800,Peace,California
1984,25-44,2.0,Expats,Graduated,30000,Peace,California
1985,45+,2.0,Expats,Graduated,27000,Peace,California
1986,18-24,1.0,Expats,No Degree,2200,Peace,California
1987,25-44,1.0,Expats,No Degree,16000,Peace,California
1988,45+,1.0,Expats,No Degree,11000,Peace,California
1989,18-24,2.0,Expats,No Degree,3200,Peace,California
1990,25-44,2.0,Expats,No Degree,24000,Peace,California
1991,45+,2.0,Expats,No Degree,28000,Peace,California
1992,18-24,1.0,Expats,High School,3000,Peace,California
1993,25-44,1.0,Expats,High School,10000,Peace,California
1994,45+,1.0,Expats,High School,4800,Peace,California
1995,18-24,2.0,Expats,High School,4500,Peace,California
1996,25-44,2.0,Expats,High School,15000,Peace,California
1997,45+,2.0,Expats,High School,11000,Peace,California
1998,18-24,1.0,Locals,Graduated,6200,Peace,California
1999,25-44,1.0,Locals,Graduated,37000,Peace,California
2000,45+,1.0,Locals,Graduated,45000,Peace,California
2001,18-24,2.0,Locals,Graduated,12000,Peace,California
2002,25-44,2.0,Locals,Graduated,100000,Peace,California
2003,45+,2.0,Locals,Graduated,130000,Peace,California
2004,18-24,1.0,Locals,No Degree,4100,Peace,California
2005,25-44,1.0,Locals,No Degree,13000,Peace,California
2006,45+,1.0,Locals,No Degree,16000,Peace,California
2007,18-24,2.0,Locals,No Degree,8500,Peace,California
2008,25-44,2.0,Locals,No Degree,31000,Peace,California
2009,45+,2.0,Locals,No Degree,54000,Peace,California
2010,18-24,1.0,Locals,High School,9600,Peace,California
2011,25-44,1.0,Locals,High School,22000,Peace,California
2012,45+,1.0,Locals,High School,21000,Peace,California
2013,18-24,2.0,Locals,High School,23000,Peace,California
2014,25-44,2.0,Locals,High School,54000,Peace,California
2015,45+,2.0,Locals,High School,70000,Peace,California
2016,18-24,1.0,Expats,Graduated,380,Peace,Colorado
2017,25-44,1.0,Expats,Graduated,1500,Peace,Colorado
2018,45+,1.0,Expats,Graduated,630,Peace,Colorado
2019,18-24,2.0,Expats,Graduated,460,Peace,Colorado
2020,25-44,2.0,Expats,Graduated,2800,Peace,Colorado
2021,45+,2.0,Expats,Graduated,1600,Peace,Colorado
2022,18-24,1.0,Expats,No Degree,310,Peace,Colorado
2023,25-44,1.0,Expats,No Degree,1200,Peace,Colorado
2024,45+,1.0,Expats,No Degree,350,Peace,Colorado
2025,18-24,2.0,Expats,No Degree,460,Peace,Colorado
2026,25-44,2.0,Expats,No Degree,1300,Peace,Colorado
2027,45+,2.0,Expats,No Degree,1200,Peace,Colorado
2028,18-24,1.0,Expats,High School,390,Peace,Colorado
2029,25-44,1.0,Expats,High School,670,Peace,Colorado
2030,45+,1.0,Expats,High School,230,Peace,Colorado
2031,18-24,2.0,Expats,High School,630,Peace,Colorado
2032,25-44,2.0,Expats,High School,1400,Peace,Colorado
2033,45+,2.0,Expats,High School,630,Peace,Colorado
2034,18-24,1.0,Locals,Graduated,1400,Peace,Colorado
2035,25-44,1.0,Locals,Graduated,7600,Peace,Colorado
2036,45+,1.0,Locals,Graduated,8800,Peace,Colorado
2037,18-24,2.0,Locals,Graduated,3300,Peace,Colorado
2038,25-44,2.0,Locals,Graduated,25000,Peace,Colorado
2039,45+,2.0,Locals,Graduated,29000,Peace,Colorado
2040,18-24,1.0,Locals,No Degree,890,Peace,Colorado
2041,25-44,1.0,Locals,No Degree,2400,Peace,Colorado
2042,45+,1.0,Locals,No Degree,2500,Peace,Colorado
2043,18-24,2.0,Locals,No Degree,2900,Peace,Colorado
2044,25-44,2.0,Locals,No Degree,5700,Peace,Colorado
2045,45+,2.0,Locals,No Degree,9000,Peace,Colorado
2046,18-24,1.0,Locals,High School,2400,Peace,Colorado
2047,25-44,1.0,Locals,High School,4000,Peace,Colorado
2048,45+,1.0,Locals,High School,4500,Peace,Colorado
2049,18-24,2.0,Locals,High School,6200,Peace,Colorado
2050,25-44,2.0,Locals,High School,12000,Peace,Colorado
2051,45+,2.0,Locals,High School,15000,Peace,Colorado
2052,18-24,1.0,Expats,Graduated,350,Peace,Connecticut
2053,25-44,1.0,Expats,Graduated,1500,Peace,Connecticut
2054,45+,1.0,Expats,Graduated,720,Peace,Connecticut
2055,18-24,2.0,Expats,Graduated,220,Peace,Connecticut
