,Unnamed: 0.1,ages_ranges,genders,behavior,scholarities,audience,timestamp,topic,location
1296,1296,18-24,1.0,Expats,Graduated,11000,1485789793.38,health care,EG
1297,1297,25-44,1.0,Expats,Graduated,27000,1485789793.38,health care,EG
1298,1298,45+,1.0,Expats,Graduated,5500,1485789793.38,health care,EG
1299,1299,18-24,2.0,Expats,Graduated,9200,1485789793.38,health care,EG
1300,1300,25-44,2.0,Expats,Graduated,19000,1485789793.38,health care,EG
1301,1301,45+,2.0,Expats,Graduated,2900,1485789793.38,health care,EG
1302,1302,18-24,1.0,Expats,No Degree,3700,1485789793.38,health care,EG
1303,1303,25-44,1.0,Expats,No Degree,9000,1485789793.38,health care,EG
1304,1304,45+,1.0,Expats,No Degree,3200,1485789793.38,health care,EG
1305,1305,18-24,2.0,Expats,No Degree,2700,1485789793.38,health care,EG
1306,1306,25-44,2.0,Expats,No Degree,6000,1485789793.38,health care,EG
1307,1307,45+,2.0,Expats,No Degree,2300,1485789793.38,health care,EG
1308,1308,18-24,1.0,Expats,High School,7300,1485789793.38,health care,EG
1309,1309,25-44,1.0,Expats,High School,6000,1485789793.38,health care,EG
1310,1310,45+,1.0,Expats,High School,1100,1485789793.38,health care,EG
1311,1311,18-24,2.0,Expats,High School,7000,1485789793.38,health care,EG
1312,1312,25-44,2.0,Expats,High School,4300,1485789793.38,health care,EG
1313,1313,45+,2.0,Expats,High School,860,1485789793.38,health care,EG
1314,1314,18-24,1.0,Locals,Graduated,220000,1485789793.38,health care,EG
1315,1315,25-44,1.0,Locals,Graduated,570000,1485789793.38,health care,EG
1316,1316,45+,1.0,Locals,Graduated,100000,1485789793.38,health care,EG
1317,1317,18-24,2.0,Locals,Graduated,300000,1485789793.38,health care,EG
1318,1318,25-44,2.0,Locals,Graduated,550000,1485789793.38,health care,EG
1319,1319,45+,2.0,Locals,Graduated,74000,1485789793.38,health care,EG
1320,1320,18-24,1.0,Locals,No Degree,100000,1485789793.38,health care,EG
1321,1321,25-44,1.0,Locals,No Degree,250000,1485789793.38,health care,EG
1322,1322,45+,1.0,Locals,No Degree,94000,1485789793.38,health care,EG
1323,1323,18-24,2.0,Locals,No Degree,110000,1485789793.38,health care,EG
1324,1324,25-44,2.0,Locals,No Degree,220000,1485789793.38,health care,EG
1325,1325,45+,2.0,Locals,No Degree,89000,1485789793.38,health care,EG
1326,1326,18-24,1.0,Locals,High School,140000,1485789793.38,health care,EG
1327,1327,25-44,1.0,Locals,High School,110000,1485789793.38,health care,EG
1328,1328,45+,1.0,Locals,High School,24000,1485789793.38,health care,EG
1329,1329,18-24,2.0,Locals,High School,200000,1485789793.38,health care,EG
1330,1330,25-44,2.0,Locals,High School,89000,1485789793.38,health care,EG
1331,1331,45+,2.0,Locals,High School,15000,1485789793.38,health care,EG
