,topic,country_code,citizenship,gender,is_denominator,language,languages,max_age,min_age,scholarity,audience,age_range
31849,fitness and wellness,QA,Expats,Female,False,English,NOTSELECTED,44.0,25,ND,26000,25-44
31850,fitness and wellness,SA,Expats,Female,False,English,NOTSELECTED,44.0,25,ND,130000,25-44
31851,fitness and wellness,SO,Expats,Female,False,English,NOTSELECTED,44.0,25,ND,6000,25-44
31852,fitness and wellness,TN,Expats,Female,False,English,NOTSELECTED,44.0,25,ND,10500,25-44
31853,fitness and wellness,AE,Expats,Female,False,English,NOTSELECTED,44.0,25,ND,95000,25-44
31854,fitness and wellness,YE,Expats,Female,False,English,NOTSELECTED,44.0,25,ND,1100,25-44
31855,fitness and wellness,PS,Expats,Female,False,English,NOTSELECTED,44.0,25,ND,3050,25-44
31856,fitness and wellness,DZ,Expats,Female,False,European,NOTSELECTED,44.0,25,ND,2250,25-44
31857,fitness and wellness,EG,Expats,Female,False,European,NOTSELECTED,44.0,25,ND,2300,25-44
31858,fitness and wellness,IQ,Expats,Female,False,European,NOTSELECTED,44.0,25,ND,600,25-44
31859,fitness and wellness,JO,Expats,Female,False,European,NOTSELECTED,44.0,25,ND,370,25-44
31860,fitness and wellness,KW,Expats,Female,False,European,NOTSELECTED,44.0,25,ND,415,25-44
31861,fitness and wellness,LB,Expats,Female,False,European,NOTSELECTED,44.0,25,ND,1400,25-44
31862,fitness and wellness,LY,Expats,Female,False,European,NOTSELECTED,44.0,25,ND,160,25-44
31863,fitness and wellness,MA,Expats,Female,False,European,NOTSELECTED,44.0,25,ND,6500,25-44
31864,fitness and wellness,OM,Expats,Female,False,European,NOTSELECTED,44.0,25,ND,190,25-44
31865,fitness and wellness,QA,Expats,Female,False,European,NOTSELECTED,44.0,25,ND,600,25-44
31866,fitness and wellness,SA,Expats,Female,False,European,NOTSELECTED,44.0,25,ND,2200,25-44
31867,fitness and wellness,SO,Expats,Female,False,European,NOTSELECTED,44.0,25,ND,45,25-44
31868,fitness and wellness,TN,Expats,Female,False,European,NOTSELECTED,44.0,25,ND,3450,25-44
31869,fitness and wellness,AE,Expats,Female,False,European,NOTSELECTED,44.0,25,ND,2650,25-44
31870,fitness and wellness,YE,Expats,Female,False,European,NOTSELECTED,44.0,25,ND,30,25-44
31871,fitness and wellness,PS,Expats,Female,False,European,NOTSELECTED,44.0,25,ND,95,25-44
31872,fitness and wellness,DZ,Expats,Female,False,Indian,NOTSELECTED,44.0,25,ND,165,25-44
31873,fitness and wellness,EG,Expats,Female,False,Indian,NOTSELECTED,44.0,25,ND,315,25-44
31874,fitness and wellness,IQ,Expats,Female,False,Indian,NOTSELECTED,44.0,25,ND,550,25-44
31875,fitness and wellness,JO,Expats,Female,False,Indian,NOTSELECTED,44.0,25,ND,1600,25-44
31876,fitness and wellness,KW,Expats,Female,False,Indian,NOTSELECTED,44.0,25,ND,8000,25-44
31877,fitness and wellness,LB,Expats,Female,False,Indian,NOTSELECTED,44.0,25,ND,750,25-44
31878,fitness and wellness,LY,Expats,Female,False,Indian,NOTSELECTED,44.0,25,ND,320,25-44
31879,fitness and wellness,MA,Expats,Female,False,Indian,NOTSELECTED,44.0,25,ND,130,25-44
31880,fitness and wellness,OM,Expats,Female,False,Indian,NOTSELECTED,44.0,25,ND,3850,25-44
31881,fitness and wellness,QA,Expats,Female,False,Indian,NOTSELECTED,44.0,25,ND,4500,25-44
31882,fitness and wellness,SA,Expats,Female,False,Indian,NOTSELECTED,44.0,25,ND,24500,25-44
31883,fitness and wellness,SO,Expats,Female,False,Indian,NOTSELECTED,44.0,25,ND,30,25-44
31884,fitness and wellness,TN,Expats,Female,False,Indian,NOTSELECTED,44.0,25,ND,85,25-44
31885,fitness and wellness,AE,Expats,Female,False,Indian,NOTSELECTED,44.0,25,ND,14500,25-44
31886,fitness and wellness,YE,Expats,Female,False,Indian,NOTSELECTED,44.0,25,ND,15,25-44
31887,fitness and wellness,PS,Expats,Female,False,Indian,NOTSELECTED,44.0,25,ND,0,25-44
31888,fitness and wellness,DZ,Expats,Female,False,SE Asia,NOTSELECTED,44.0,25,ND,850,25-44
31889,fitness and wellness,EG,Expats,Female,False,SE Asia,NOTSELECTED,44.0,25,ND,1150,25-44
31890,fitness and wellness,IQ,Expats,Female,False,SE Asia,NOTSELECTED,44.0,25,ND,650,25-44
31891,fitness and wellness,JO,Expats,Female,False,SE Asia,NOTSELECTED,44.0,25,ND,2150,25-44
31892,fitness and wellness,KW,Expats,Female,False,SE Asia,NOTSELECTED,44.0,25,ND,23000,25-44
31893,fitness and wellness,LB,Expats,Female,False,SE Asia,NOTSELECTED,44.0,25,ND,4000,25-44
31894,fitness and wellness,LY,Expats,Female,False,SE Asia,NOTSELECTED,44.0,25,ND,105,25-44
31895,fitness and wellness,MA,Expats,Female,False,SE Asia,NOTSELECTED,44.0,25,ND,950,25-44
31896,fitness and wellness,OM,Expats,Female,False,SE Asia,NOTSELECTED,44.0,25,ND,4200,25-44
31897,fitness and wellness,QA,Expats,Female,False,SE Asia,NOTSELECTED,44.0,25,ND,12000,25-44
31898,fitness and wellness,SA,Expats,Female,False,SE Asia,NOTSELECTED,44.0,25,ND,60000,25-44
31899,fitness and wellness,SO,Expats,Female,False,SE Asia,NOTSELECTED,44.0,25,ND,900,25-44
31900,fitness and wellness,TN,Expats,Female,False,SE Asia,NOTSELECTED,44.0,25,ND,1250,25-44
31901,fitness and wellness,AE,Expats,Female,False,SE Asia,NOTSELECTED,44.0,25,ND,38000,25-44
31902,fitness and wellness,YE,Expats,Female,False,SE Asia,NOTSELECTED,44.0,25,ND,60,25-44
