,topic,country_code,citizenship,gender,is_denominator,language,languages,max_age,min_age,scholarity,audience,age_range
5815,smoking awareness,MA,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,0,18-24
5816,smoking awareness,OM,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,0,18-24
5817,smoking awareness,QA,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,0,18-24
5818,smoking awareness,SA,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,1700,18-24
5819,smoking awareness,SO,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,0,18-24
5820,smoking awareness,TN,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,0,18-24
5821,smoking awareness,AE,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,90,18-24
5822,smoking awareness,YE,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,0,18-24
5823,smoking awareness,PS,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,0,18-24
5824,smoking awareness,DZ,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,0,18-24
5825,smoking awareness,EG,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,0,18-24
5826,smoking awareness,IQ,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,0,18-24
5827,smoking awareness,JO,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,0,18-24
5828,smoking awareness,KW,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,0,18-24
5829,smoking awareness,LB,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,0,18-24
5830,smoking awareness,LY,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,0,18-24
5831,smoking awareness,MA,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,0,18-24
5832,smoking awareness,OM,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,0,18-24
5833,smoking awareness,QA,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,0,18-24
5834,smoking awareness,SA,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,310,18-24
5835,smoking awareness,SO,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,0,18-24
5836,smoking awareness,TN,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,0,18-24
5837,smoking awareness,AE,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,30,18-24
5838,smoking awareness,YE,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,0,18-24
5839,smoking awareness,PS,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,0,18-24
5840,smoking awareness,DZ,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,990,18-24
5841,smoking awareness,EG,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,9000,18-24
5842,smoking awareness,IQ,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,1400,18-24
5843,smoking awareness,JO,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,750,18-24
5844,smoking awareness,KW,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,0,18-24
5845,smoking awareness,LB,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,0,18-24
5846,smoking awareness,LY,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,60,18-24
5847,smoking awareness,MA,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,940,18-24
5848,smoking awareness,OM,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,0,18-24
5849,smoking awareness,QA,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,0,18-24
5850,smoking awareness,SA,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,80,18-24
5851,smoking awareness,SO,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,0,18-24
5852,smoking awareness,TN,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,660,18-24
5853,smoking awareness,AE,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,50,18-24
5854,smoking awareness,YE,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,0,18-24
5855,smoking awareness,PS,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,290,18-24
5856,smoking awareness,DZ,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,240,18-24
5857,smoking awareness,EG,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,3900,18-24
5858,smoking awareness,IQ,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,470,18-24
5859,smoking awareness,JO,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,280,18-24
5860,smoking awareness,KW,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,0,18-24
5861,smoking awareness,LB,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,0,18-24
5862,smoking awareness,LY,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,0,18-24
5863,smoking awareness,MA,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,340,18-24
5864,smoking awareness,OM,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,0,18-24
5865,smoking awareness,QA,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,0,18-24
5866,smoking awareness,SA,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,160,18-24
5867,smoking awareness,SO,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,0,18-24
5868,smoking awareness,TN,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,260,18-24
5869,smoking awareness,AE,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,50,18-24
5870,smoking awareness,YE,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,0,18-24
5871,smoking awareness,PS,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,90,18-24
5872,smoking awareness,DZ,Locals,Male,False,European,NOTSELECTED,24.0,18,HS,50,18-24
5873,smoking awareness,EG,Locals,Male,False,European,NOTSELECTED,24.0,18,HS,470,18-24
5874,smoking awareness,IQ,Locals,Male,False,European,NOTSELECTED,24.0,18,HS,0,18-24
5875,smoking awareness,JO,Locals,Male,False,European,NOTSELECTED,24.0,18,HS,0,18-24
5876,smoking awareness,KW,Locals,Male,False,European,NOTSELECTED,24.0,18,HS,0,18-24
5877,smoking awareness,LB,Locals,Male,False,European,NOTSELECTED,24.0,18,HS,0,18-24
5878,smoking awareness,LY,Locals,Male,False,European,NOTSELECTED,24.0,18,HS,0,18-24
5879,smoking awareness,MA,Locals,Male,False,European,NOTSELECTED,24.0,18,HS,80,18-24
5880,smoking awareness,OM,Locals,Male,False,European,NOTSELECTED,24.0,18,HS,0,18-24
5881,smoking awareness,QA,Locals,Male,False,European,NOTSELECTED,24.0,18,HS,0,18-24
