,topic,country_code,citizenship,gender,is_denominator,language,languages,max_age,min_age,scholarity,audience,age_range
8704,luxury goods,DZ,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,2800,18-24
8705,luxury goods,EG,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,2700,18-24
8706,luxury goods,IQ,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,880,18-24
8707,luxury goods,JO,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,480,18-24
8708,luxury goods,KW,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,1700,18-24
8709,luxury goods,LB,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,1100,18-24
8710,luxury goods,LY,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,40,18-24
8711,luxury goods,MA,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,4200,18-24
8712,luxury goods,OM,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,1700,18-24
8713,luxury goods,QA,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,1300,18-24
8714,luxury goods,SA,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,110000,18-24
8715,luxury goods,SO,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,330,18-24
8716,luxury goods,TN,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,2900,18-24
8717,luxury goods,AE,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,5400,18-24
8718,luxury goods,YE,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,0,18-24
8719,luxury goods,PS,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,0,18-24
8720,luxury goods,DZ,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,110000,18-24
8721,luxury goods,EG,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,540000,18-24
8722,luxury goods,IQ,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,100000,18-24
8723,luxury goods,JO,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,96000,18-24
8724,luxury goods,KW,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,2500,18-24
8725,luxury goods,LB,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,37000,18-24
8726,luxury goods,LY,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,20000,18-24
8727,luxury goods,MA,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,140000,18-24
8728,luxury goods,OM,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,9100,18-24
8729,luxury goods,QA,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,730,18-24
8730,luxury goods,SA,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,81000,18-24
8731,luxury goods,SO,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,640,18-24
8732,luxury goods,TN,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,70000,18-24
8733,luxury goods,AE,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,2800,18-24
8734,luxury goods,YE,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,7100,18-24
