,age_range,gender,citizenship,scholarity,audience,topic,country_code
3763,25-44,Male,Locals,Graduated,1200000,luxury goods,EG
3764,45+,Male,Locals,Graduated,160000,luxury goods,EG
3765,18-24,Female,Locals,Graduated,720000,luxury goods,EG
3766,25-44,Female,Locals,Graduated,1100000,luxury goods,EG
3767,45+,Female,Locals,Graduated,130000,luxury goods,EG
3768,18-24,Male,Locals,No Degree,350000,luxury goods,EG
3769,25-44,Male,Locals,No Degree,630000,luxury goods,EG
3770,45+,Male,Locals,No Degree,180000,luxury goods,EG
3771,18-24,Female,Locals,No Degree,360000,luxury goods,EG
3772,25-44,Female,Locals,No Degree,540000,luxury goods,EG
3773,45+,Female,Locals,No Degree,180000,luxury goods,EG
3774,18-24,Male,Locals,High School,480000,luxury goods,EG
3775,25-44,Male,Locals,High School,260000,luxury goods,EG
3776,45+,Male,Locals,High School,39000,luxury goods,EG
3777,18-24,Female,Locals,High School,530000,luxury goods,EG
3778,25-44,Female,Locals,High School,190000,luxury goods,EG
3779,45+,Female,Locals,High School,31000,luxury goods,EG
3780,18-24,Male,Expats,Graduated,16000,luxury goods,IQ
3781,25-44,Male,Expats,Graduated,33000,luxury goods,IQ
3782,45+,Male,Expats,Graduated,3300,luxury goods,IQ
3783,18-24,Female,Expats,Graduated,5600,luxury goods,IQ
3784,25-44,Female,Expats,Graduated,12000,luxury goods,IQ
3785,45+,Female,Expats,Graduated,1200,luxury goods,IQ
3786,18-24,Male,Expats,No Degree,9000,luxury goods,IQ
3787,25-44,Male,Expats,No Degree,14000,luxury goods,IQ
3788,45+,Male,Expats,No Degree,2100,luxury goods,IQ
3789,18-24,Female,Expats,No Degree,6300,luxury goods,IQ
3790,25-44,Female,Expats,No Degree,7600,luxury goods,IQ
3791,45+,Female,Expats,No Degree,1400,luxury goods,IQ
3792,18-24,Male,Expats,High School,8800,luxury goods,IQ
3793,25-44,Male,Expats,High School,9200,luxury goods,IQ
3794,45+,Male,Expats,High School,950,luxury goods,IQ
3795,18-24,Female,Expats,High School,5300,luxury goods,IQ
3796,25-44,Female,Expats,High School,3600,luxury goods,IQ
3797,45+,Female,Expats,High School,430,luxury goods,IQ
3798,18-24,Male,Locals,Graduated,170000,luxury goods,IQ
3799,25-44,Male,Locals,Graduated,370000,luxury goods,IQ
3800,45+,Male,Locals,Graduated,34000,luxury goods,IQ
3801,18-24,Female,Locals,Graduated,92000,luxury goods,IQ
3802,25-44,Female,Locals,Graduated,190000,luxury goods,IQ
3803,45+,Female,Locals,Graduated,22000,luxury goods,IQ
3804,18-24,Male,Locals,No Degree,160000,luxury goods,IQ
3805,25-44,Male,Locals,No Degree,230000,luxury goods,IQ
3806,45+,Male,Locals,No Degree,42000,luxury goods,IQ
3807,18-24,Female,Locals,No Degree,110000,luxury goods,IQ
3808,25-44,Female,Locals,No Degree,160000,luxury goods,IQ
3809,45+,Female,Locals,No Degree,35000,luxury goods,IQ
3810,18-24,Male,Locals,High School,120000,luxury goods,IQ
3811,25-44,Male,Locals,High School,110000,luxury goods,IQ
3812,45+,Male,Locals,High School,11000,luxury goods,IQ
3813,18-24,Female,Locals,High School,93000,luxury goods,IQ
3814,25-44,Female,Locals,High School,56000,luxury goods,IQ
3815,45+,Female,Locals,High School,7300,luxury goods,IQ
3816,18-24,Male,Expats,Graduated,29000,luxury goods,JO
3817,25-44,Male,Expats,Graduated,63000,luxury goods,JO
3818,45+,Male,Expats,Graduated,10000,luxury goods,JO
3819,18-24,Female,Expats,Graduated,23000,luxury goods,JO
3820,25-44,Female,Expats,Graduated,53000,luxury goods,JO
3821,45+,Female,Expats,Graduated,11000,luxury goods,JO
3822,18-24,Male,Expats,No Degree,26000,luxury goods,JO
3823,25-44,Male,Expats,No Degree,45000,luxury goods,JO
3824,45+,Male,Expats,No Degree,12000,luxury goods,JO
3825,18-24,Female,Expats,No Degree,17000,luxury goods,JO
3826,25-44,Female,Expats,No Degree,32000,luxury goods,JO
3827,45+,Female,Expats,No Degree,15000,luxury goods,JO
3828,18-24,Male,Expats,High School,25000,luxury goods,JO
3829,25-44,Male,Expats,High School,20000,luxury goods,JO
3830,45+,Male,Expats,High School,3200,luxury goods,JO
3831,18-24,Female,Expats,High School,29000,luxury goods,JO
3832,25-44,Female,Expats,High School,17000,luxury goods,JO
3833,45+,Female,Expats,High School,4400,luxury goods,JO
3834,18-24,Male,Locals,Graduated,94000,luxury goods,JO
3835,25-44,Male,Locals,Graduated,200000,luxury goods,JO
3836,45+,Male,Locals,Graduated,33000,luxury goods,JO
3837,18-24,Female,Locals,Graduated,80000,luxury goods,JO
3838,25-44,Female,Locals,Graduated,170000,luxury goods,JO
3839,45+,Female,Locals,Graduated,25000,luxury goods,JO
3840,18-24,Male,Locals,No Degree,77000,luxury goods,JO
3841,25-44,Male,Locals,No Degree,120000,luxury goods,JO
3842,45+,Male,Locals,No Degree,49000,luxury goods,JO
3843,18-24,Female,Locals,No Degree,76000,luxury goods,JO
3844,25-44,Female,Locals,No Degree,140000,luxury goods,JO
3845,45+,Female,Locals,No Degree,54000,luxury goods,JO
3846,18-24,Male,Locals,High School,79000,luxury goods,JO
3847,25-44,Male,Locals,High School,59000,luxury goods,JO
3848,45+,Male,Locals,High School,14000,luxury goods,JO
3849,18-24,Female,Locals,High School,93000,luxury goods,JO
3850,25-44,Female,Locals,High School,51000,luxury goods,JO
3851,45+,Female,Locals,High School,11000,luxury goods,JO
3852,18-24,Male,Expats,Graduated,21000,luxury goods,KW
3853,25-44,Male,Expats,Graduated,190000,luxury goods,KW
3854,45+,Male,Expats,Graduated,25000,luxury goods,KW
3855,18-24,Female,Expats,Graduated,12000,luxury goods,KW
3856,25-44,Female,Expats,Graduated,120000,luxury goods,KW
3857,45+,Female,Expats,Graduated,16000,luxury goods,KW
3858,18-24,Male,Expats,No Degree,45000,luxury goods,KW
3859,25-44,Male,Expats,No Degree,180000,luxury goods,KW
3860,45+,Male,Expats,No Degree,37000,luxury goods,KW
3861,18-24,Female,Expats,No Degree,26000,luxury goods,KW
3862,25-44,Female,Expats,No Degree,83000,luxury goods,KW
3863,45+,Female,Expats,No Degree,19000,luxury goods,KW
3864,18-24,Male,Expats,High School,9700,luxury goods,KW
3865,25-44,Male,Expats,High School,53000,luxury goods,KW
3866,45+,Male,Expats,High School,8400,luxury goods,KW
3867,18-24,Female,Expats,High School,8900,luxury goods,KW
3868,25-44,Female,Expats,High School,43000,luxury goods,KW
3869,45+,Female,Expats,High School,6100,luxury goods,KW
3870,18-24,Male,Locals,Graduated,1400,luxury goods,KW
3871,25-44,Male,Locals,Graduated,8400,luxury goods,KW
3872,45+,Male,Locals,Graduated,1600,luxury goods,KW
3873,18-24,Female,Locals,Graduated,1100,luxury goods,KW
3874,25-44,Female,Locals,Graduated,7500,luxury goods,KW
3875,45+,Female,Locals,Graduated,1100,luxury goods,KW
3876,18-24,Male,Locals,No Degree,3500,luxury goods,KW
3877,25-44,Male,Locals,No Degree,10000,luxury goods,KW
3878,45+,Male,Locals,No Degree,2300,luxury goods,KW
3879,18-24,Female,Locals,No Degree,3700,luxury goods,KW
3880,25-44,Female,Locals,No Degree,9600,luxury goods,KW
3881,45+,Female,Locals,No Degree,2100,luxury goods,KW
3882,18-24,Male,Locals,High School,920,luxury goods,KW
3883,25-44,Male,Locals,High School,2100,luxury goods,KW
3884,45+,Male,Locals,High School,410,luxury goods,KW
3885,18-24,Female,Locals,High School,1200,luxury goods,KW
3886,25-44,Female,Locals,High School,1500,luxury goods,KW
3887,45+,Female,Locals,High School,250,luxury goods,KW
3888,18-24,Male,Expats,Graduated,14000,luxury goods,LB
3889,25-44,Male,Expats,Graduated,31000,luxury goods,LB
3890,45+,Male,Expats,Graduated,4100,luxury goods,LB
3891,18-24,Female,Expats,Graduated,9100,luxury goods,LB
3892,25-44,Female,Expats,Graduated,28000,luxury goods,LB
3893,45+,Female,Expats,Graduated,5500,luxury goods,LB
3894,18-24,Male,Expats,No Degree,21000,luxury goods,LB
3895,25-44,Male,Expats,No Degree,36000,luxury goods,LB
3896,45+,Male,Expats,No Degree,6400,luxury goods,LB
3897,18-24,Female,Expats,No Degree,20000,luxury goods,LB
