,age_range,gender,citizenship,scholarity,audience,topic,country_code
1934,45+,Male,Locals,No Degree,91000,obesity,EG
1935,18-24,Female,Locals,No Degree,240000,obesity,EG
1936,25-44,Female,Locals,No Degree,460000,obesity,EG
1937,45+,Female,Locals,No Degree,170000,obesity,EG
1938,18-24,Male,Locals,High School,220000,obesity,EG
1939,25-44,Male,Locals,High School,110000,obesity,EG
1940,45+,Male,Locals,High School,21000,obesity,EG
1941,18-24,Female,Locals,High School,320000,obesity,EG
1942,25-44,Female,Locals,High School,150000,obesity,EG
1943,45+,Female,Locals,High School,28000,obesity,EG
1944,18-24,Male,Expats,Graduated,14000,obesity,IQ
1945,25-44,Male,Expats,Graduated,29000,obesity,IQ
1946,45+,Male,Expats,Graduated,3900,obesity,IQ
1947,18-24,Female,Expats,Graduated,2800,obesity,IQ
1948,25-44,Female,Expats,Graduated,7600,obesity,IQ
1949,45+,Female,Expats,Graduated,1300,obesity,IQ
1950,18-24,Male,Expats,No Degree,9000,obesity,IQ
1951,25-44,Male,Expats,No Degree,14000,obesity,IQ
1952,45+,Male,Expats,No Degree,3000,obesity,IQ
1953,18-24,Female,Expats,No Degree,3300,obesity,IQ
1954,25-44,Female,Expats,No Degree,5500,obesity,IQ
1955,45+,Female,Expats,No Degree,1500,obesity,IQ
1956,18-24,Male,Expats,High School,7600,obesity,IQ
1957,25-44,Male,Expats,High School,7800,obesity,IQ
1958,45+,Male,Expats,High School,1300,obesity,IQ
1959,18-24,Female,Expats,High School,2600,obesity,IQ
1960,25-44,Female,Expats,High School,2200,obesity,IQ
1961,45+,Female,Expats,High School,400,obesity,IQ
1962,18-24,Male,Locals,Graduated,150000,obesity,IQ
1963,25-44,Male,Locals,Graduated,340000,obesity,IQ
1964,45+,Male,Locals,Graduated,48000,obesity,IQ
1965,18-24,Female,Locals,Graduated,49000,obesity,IQ
1966,25-44,Female,Locals,Graduated,110000,obesity,IQ
1967,45+,Female,Locals,Graduated,19000,obesity,IQ
1968,18-24,Male,Locals,No Degree,210000,obesity,IQ
1969,25-44,Male,Locals,No Degree,310000,obesity,IQ
1970,45+,Male,Locals,No Degree,78000,obesity,IQ
1971,18-24,Female,Locals,No Degree,83000,obesity,IQ
1972,25-44,Female,Locals,No Degree,130000,obesity,IQ
1973,45+,Female,Locals,No Degree,38000,obesity,IQ
1974,18-24,Male,Locals,High School,100000,obesity,IQ
1975,25-44,Male,Locals,High School,110000,obesity,IQ
1976,45+,Male,Locals,High School,17000,obesity,IQ
1977,18-24,Female,Locals,High School,46000,obesity,IQ
1978,25-44,Female,Locals,High School,37000,obesity,IQ
1979,45+,Female,Locals,High School,6600,obesity,IQ
1980,18-24,Male,Expats,Graduated,8800,obesity,JO
1981,25-44,Male,Expats,Graduated,18000,obesity,JO
1982,45+,Male,Expats,Graduated,3300,obesity,JO
1983,18-24,Female,Expats,Graduated,8700,obesity,JO
1984,25-44,Female,Expats,Graduated,25000,obesity,JO
1985,45+,Female,Expats,Graduated,6200,obesity,JO
1986,18-24,Male,Expats,No Degree,8100,obesity,JO
1987,25-44,Male,Expats,No Degree,13000,obesity,JO
1988,45+,Male,Expats,No Degree,3400,obesity,JO
1989,18-24,Female,Expats,No Degree,5000,obesity,JO
1990,25-44,Female,Expats,No Degree,14000,obesity,JO
1991,45+,Female,Expats,No Degree,7700,obesity,JO
1992,18-24,Male,Expats,High School,7500,obesity,JO
1993,25-44,Male,Expats,High School,5300,obesity,JO
1994,45+,Male,Expats,High School,900,obesity,JO
1995,18-24,Female,Expats,High School,9600,obesity,JO
1996,25-44,Female,Expats,High School,7000,obesity,JO
1997,45+,Female,Expats,High School,2400,obesity,JO
1998,18-24,Male,Locals,Graduated,32000,obesity,JO
1999,25-44,Male,Locals,Graduated,56000,obesity,JO
2000,45+,Male,Locals,Graduated,10000,obesity,JO
2001,18-24,Female,Locals,Graduated,32000,obesity,JO
2002,25-44,Female,Locals,Graduated,85000,obesity,JO
2003,45+,Female,Locals,Graduated,14000,obesity,JO
2004,18-24,Male,Locals,No Degree,36000,obesity,JO
2005,25-44,Male,Locals,No Degree,42000,obesity,JO
2006,45+,Male,Locals,No Degree,17000,obesity,JO
2007,18-24,Female,Locals,No Degree,35000,obesity,JO
2008,25-44,Female,Locals,No Degree,74000,obesity,JO
2009,45+,Female,Locals,No Degree,29000,obesity,JO
2010,18-24,Male,Locals,High School,27000,obesity,JO
2011,25-44,Male,Locals,High School,18000,obesity,JO
2012,45+,Male,Locals,High School,4600,obesity,JO
2013,18-24,Female,Locals,High School,36000,obesity,JO
2014,25-44,Female,Locals,High School,26000,obesity,JO
2015,45+,Female,Locals,High School,5900,obesity,JO
2016,18-24,Male,Expats,Graduated,3100,obesity,KW
2017,25-44,Male,Expats,Graduated,27000,obesity,KW
2018,45+,Male,Expats,Graduated,3400,obesity,KW
2019,18-24,Female,Expats,Graduated,2100,obesity,KW
2020,25-44,Female,Expats,Graduated,25000,obesity,KW
2021,45+,Female,Expats,Graduated,4300,obesity,KW
2022,18-24,Male,Expats,No Degree,5500,obesity,KW
2023,25-44,Male,Expats,No Degree,23000,obesity,KW
2024,45+,Male,Expats,No Degree,4300,obesity,KW
2025,18-24,Female,Expats,No Degree,2400,obesity,KW
2026,25-44,Female,Expats,No Degree,11000,obesity,KW
2027,45+,Female,Expats,No Degree,3300,obesity,KW
2028,18-24,Male,Expats,High School,1600,obesity,KW
2029,25-44,Male,Expats,High School,7100,obesity,KW
2030,45+,Male,Expats,High School,900,obesity,KW
2031,18-24,Female,Expats,High School,1500,obesity,KW
2032,25-44,Female,Expats,High School,7900,obesity,KW
2033,45+,Female,Expats,High School,1400,obesity,KW
2034,18-24,Male,Locals,Graduated,1300,obesity,KW
2035,25-44,Male,Locals,Graduated,5700,obesity,KW
2036,45+,Male,Locals,Graduated,730,obesity,KW
2037,18-24,Female,Locals,Graduated,860,obesity,KW
2038,25-44,Female,Locals,Graduated,5900,obesity,KW
2039,45+,Female,Locals,Graduated,830,obesity,KW
2040,18-24,Male,Locals,No Degree,2700,obesity,KW
2041,25-44,Male,Locals,No Degree,7100,obesity,KW
2042,45+,Male,Locals,No Degree,1200,obesity,KW
2043,18-24,Female,Locals,No Degree,1600,obesity,KW
2044,25-44,Female,Locals,No Degree,4900,obesity,KW
