,age_range,gender,citizenship,scholarity,audience,topic,country_code
712,25-44,Female,Locals,No Degree,870000,fitness and wellness,EG
713,45+,Female,Locals,No Degree,320000,fitness and wellness,EG
714,18-24,Male,Locals,High School,760000,fitness and wellness,EG
715,25-44,Male,Locals,High School,440000,fitness and wellness,EG
716,45+,Male,Locals,High School,83000,fitness and wellness,EG
717,18-24,Female,Locals,High School,680000,fitness and wellness,EG
718,25-44,Female,Locals,High School,270000,fitness and wellness,EG
719,45+,Female,Locals,High School,48000,fitness and wellness,EG
720,18-24,Male,Expats,Graduated,48000,fitness and wellness,IQ
721,25-44,Male,Expats,Graduated,98000,fitness and wellness,IQ
722,45+,Male,Expats,Graduated,13000,fitness and wellness,IQ
723,18-24,Female,Expats,Graduated,9100,fitness and wellness,IQ
724,25-44,Female,Expats,Graduated,19000,fitness and wellness,IQ
725,45+,Female,Expats,Graduated,2500,fitness and wellness,IQ
726,18-24,Male,Expats,No Degree,36000,fitness and wellness,IQ
727,25-44,Male,Expats,No Degree,53000,fitness and wellness,IQ
728,45+,Male,Expats,No Degree,10000,fitness and wellness,IQ
729,18-24,Female,Expats,No Degree,13000,fitness and wellness,IQ
730,25-44,Female,Expats,No Degree,17000,fitness and wellness,IQ
731,45+,Female,Expats,No Degree,3400,fitness and wellness,IQ
732,18-24,Male,Expats,High School,25000,fitness and wellness,IQ
733,25-44,Male,Expats,High School,27000,fitness and wellness,IQ
734,45+,Male,Expats,High School,4000,fitness and wellness,IQ
735,18-24,Female,Expats,High School,7800,fitness and wellness,IQ
736,25-44,Female,Expats,High School,6100,fitness and wellness,IQ
737,45+,Female,Expats,High School,970,fitness and wellness,IQ
738,18-24,Male,Locals,Graduated,490000,fitness and wellness,IQ
739,25-44,Male,Locals,Graduated,1000000,fitness and wellness,IQ
740,45+,Male,Locals,Graduated,140000,fitness and wellness,IQ
741,18-24,Female,Locals,Graduated,130000,fitness and wellness,IQ
742,25-44,Female,Locals,Graduated,260000,fitness and wellness,IQ
743,45+,Female,Locals,Graduated,41000,fitness and wellness,IQ
744,18-24,Male,Locals,No Degree,750000,fitness and wellness,IQ
745,25-44,Male,Locals,No Degree,1000000,fitness and wellness,IQ
746,45+,Male,Locals,No Degree,240000,fitness and wellness,IQ
747,18-24,Female,Locals,No Degree,230000,fitness and wellness,IQ
748,25-44,Female,Locals,No Degree,320000,fitness and wellness,IQ
749,45+,Female,Locals,No Degree,94000,fitness and wellness,IQ
750,18-24,Male,Locals,High School,320000,fitness and wellness,IQ
751,25-44,Male,Locals,High School,310000,fitness and wellness,IQ
752,45+,Male,Locals,High School,48000,fitness and wellness,IQ
753,18-24,Female,Locals,High School,130000,fitness and wellness,IQ
754,25-44,Female,Locals,High School,84000,fitness and wellness,IQ
755,45+,Female,Locals,High School,14000,fitness and wellness,IQ
756,18-24,Male,Expats,Graduated,41000,fitness and wellness,JO
757,25-44,Male,Expats,Graduated,86000,fitness and wellness,JO
758,45+,Male,Expats,Graduated,14000,fitness and wellness,JO
759,18-24,Female,Expats,Graduated,27000,fitness and wellness,JO
760,25-44,Female,Expats,Graduated,61000,fitness and wellness,JO
761,45+,Female,Expats,Graduated,13000,fitness and wellness,JO
762,18-24,Male,Expats,No Degree,43000,fitness and wellness,JO
