,age_range,gender,citizenship,scholarity,audience,topic,country_code
4385,45+,Female,Locals,No Degree,22000,cars vehicles,EG
4386,18-24,Male,Locals,High School,310000,cars vehicles,EG
4387,25-44,Male,Locals,High School,160000,cars vehicles,EG
4388,45+,Male,Locals,High School,21000,cars vehicles,EG
4389,18-24,Female,Locals,High School,120000,cars vehicles,EG
4390,25-44,Female,Locals,High School,36000,cars vehicles,EG
4391,45+,Female,Locals,High School,4700,cars vehicles,EG
4392,18-24,Male,Expats,Graduated,14000,cars vehicles,IQ
4393,25-44,Male,Expats,Graduated,27000,cars vehicles,IQ
4394,45+,Male,Expats,Graduated,2600,cars vehicles,IQ
4395,18-24,Female,Expats,Graduated,1100,cars vehicles,IQ
4396,25-44,Female,Expats,Graduated,2200,cars vehicles,IQ
4397,45+,Female,Expats,Graduated,260,cars vehicles,IQ
4398,18-24,Male,Expats,No Degree,6400,cars vehicles,IQ
4399,25-44,Male,Expats,No Degree,8200,cars vehicles,IQ
4400,45+,Male,Expats,No Degree,1300,cars vehicles,IQ
4401,18-24,Female,Expats,No Degree,770,cars vehicles,IQ
4402,25-44,Female,Expats,No Degree,860,cars vehicles,IQ
4403,45+,Female,Expats,No Degree,280,cars vehicles,IQ
4404,18-24,Male,Expats,High School,8300,cars vehicles,IQ
4405,25-44,Male,Expats,High School,7300,cars vehicles,IQ
4406,45+,Male,Expats,High School,620,cars vehicles,IQ
4407,18-24,Female,Expats,High School,1100,cars vehicles,IQ
4408,25-44,Female,Expats,High School,540,cars vehicles,IQ
4409,45+,Female,Expats,High School,90,cars vehicles,IQ
4410,18-24,Male,Locals,Graduated,150000,cars vehicles,IQ
4411,25-44,Male,Locals,Graduated,290000,cars vehicles,IQ
4412,45+,Male,Locals,Graduated,25000,cars vehicles,IQ
4413,18-24,Female,Locals,Graduated,14000,cars vehicles,IQ
4414,25-44,Female,Locals,Graduated,28000,cars vehicles,IQ
4415,45+,Female,Locals,Graduated,4200,cars vehicles,IQ
4416,18-24,Male,Locals,No Degree,130000,cars vehicles,IQ
4417,25-44,Male,Locals,No Degree,150000,cars vehicles,IQ
4418,45+,Male,Locals,No Degree,25000,cars vehicles,IQ
4419,18-24,Female,Locals,No Degree,12000,cars vehicles,IQ
4420,25-44,Female,Locals,No Degree,17000,cars vehicles,IQ
4421,45+,Female,Locals,No Degree,6400,cars vehicles,IQ
4422,18-24,Male,Locals,High School,110000,cars vehicles,IQ
4423,25-44,Male,Locals,High School,87000,cars vehicles,IQ
4424,45+,Male,Locals,High School,7700,cars vehicles,IQ
4425,18-24,Female,Locals,High School,14000,cars vehicles,IQ
4426,25-44,Female,Locals,High School,8000,cars vehicles,IQ
4427,45+,Female,Locals,High School,1500,cars vehicles,IQ
4428,18-24,Male,Expats,Graduated,17000,cars vehicles,JO
4429,25-44,Male,Expats,Graduated,33000,cars vehicles,JO
4430,45+,Male,Expats,Graduated,4200,cars vehicles,JO
4431,18-24,Female,Expats,Graduated,6200,cars vehicles,JO
4432,25-44,Female,Expats,Graduated,12000,cars vehicles,JO
4433,45+,Female,Expats,Graduated,2200,cars vehicles,JO
4434,18-24,Male,Expats,No Degree,8400,cars vehicles,JO
4435,25-44,Male,Expats,No Degree,12000,cars vehicles,JO
4436,45+,Male,Expats,No Degree,2800,cars vehicles,JO
4437,18-24,Female,Expats,No Degree,2000,cars vehicles,JO
4438,25-44,Female,Expats,No Degree,4000,cars vehicles,JO
4439,45+,Female,Expats,No Degree,1900,cars vehicles,JO
4440,18-24,Male,Expats,High School,16000,cars vehicles,JO
4441,25-44,Male,Expats,High School,9100,cars vehicles,JO
4442,45+,Male,Expats,High School,1200,cars vehicles,JO
4443,18-24,Female,Expats,High School,7800,cars vehicles,JO
4444,25-44,Female,Expats,High School,3100,cars vehicles,JO
4445,45+,Female,Expats,High School,620,cars vehicles,JO
4446,18-24,Male,Locals,Graduated,70000,cars vehicles,JO
4447,25-44,Male,Locals,Graduated,130000,cars vehicles,JO
4448,45+,Male,Locals,Graduated,15000,cars vehicles,JO
4449,18-24,Female,Locals,Graduated,21000,cars vehicles,JO
4450,25-44,Female,Locals,Graduated,37000,cars vehicles,JO
4451,45+,Female,Locals,Graduated,4400,cars vehicles,JO
4452,18-24,Male,Locals,No Degree,46000,cars vehicles,JO
4453,25-44,Male,Locals,No Degree,62000,cars vehicles,JO
4454,45+,Male,Locals,No Degree,16000,cars vehicles,JO
4455,18-24,Female,Locals,No Degree,11000,cars vehicles,JO
4456,25-44,Female,Locals,No Degree,18000,cars vehicles,JO
4457,45+,Female,Locals,No Degree,6800,cars vehicles,JO
4458,18-24,Male,Locals,High School,61000,cars vehicles,JO
4459,25-44,Male,Locals,High School,37000,cars vehicles,JO
4460,45+,Male,Locals,High School,5600,cars vehicles,JO
4461,18-24,Female,Locals,High School,23000,cars vehicles,JO
4462,25-44,Female,Locals,High School,9900,cars vehicles,JO
4463,45+,Female,Locals,High School,1600,cars vehicles,JO
4464,18-24,Male,Expats,Graduated,8900,cars vehicles,KW
4465,25-44,Male,Expats,Graduated,73000,cars vehicles,KW
4466,45+,Male,Expats,Graduated,8100,cars vehicles,KW
4467,18-24,Female,Expats,Graduated,1900,cars vehicles,KW
4468,25-44,Female,Expats,Graduated,19000,cars vehicles,KW
4469,45+,Female,Expats,Graduated,2500,cars vehicles,KW
4470,18-24,Male,Expats,No Degree,8000,cars vehicles,KW
4471,25-44,Male,Expats,No Degree,39000,cars vehicles,KW
4472,45+,Male,Expats,No Degree,8500,cars vehicles,KW
4473,18-24,Female,Expats,No Degree,2600,cars vehicles,KW
4474,25-44,Female,Expats,No Degree,9100,cars vehicles,KW
4475,45+,Female,Expats,No Degree,2000,cars vehicles,KW
4476,18-24,Male,Expats,High School,4100,cars vehicles,KW
4477,25-44,Male,Expats,High School,19000,cars vehicles,KW
4478,45+,Male,Expats,High School,2100,cars vehicles,KW
4479,18-24,Female,Expats,High School,1500,cars vehicles,KW
4480,25-44,Female,Expats,High School,6400,cars vehicles,KW
4481,45+,Female,Expats,High School,810,cars vehicles,KW
4482,18-24,Male,Locals,Graduated,1700,cars vehicles,KW
4483,25-44,Male,Locals,Graduated,9300,cars vehicles,KW
4484,45+,Male,Locals,Graduated,1400,cars vehicles,KW
4485,18-24,Female,Locals,Graduated,580,cars vehicles,KW
4486,25-44,Female,Locals,Graduated,2600,cars vehicles,KW
4487,45+,Female,Locals,Graduated,280,cars vehicles,KW
4488,18-24,Male,Locals,No Degree,3700,cars vehicles,KW
4489,25-44,Male,Locals,No Degree,9500,cars vehicles,KW
4490,45+,Male,Locals,No Degree,2200,cars vehicles,KW
4491,18-24,Female,Locals,No Degree,1400,cars vehicles,KW
4492,25-44,Female,Locals,No Degree,3100,cars vehicles,KW
4493,45+,Female,Locals,No Degree,550,cars vehicles,KW
4494,18-24,Male,Locals,High School,990,cars vehicles,KW
4495,25-44,Male,Locals,High School,2300,cars vehicles,KW
4496,45+,Male,Locals,High School,330,cars vehicles,KW
4497,18-24,Female,Locals,High School,430,cars vehicles,KW
4498,25-44,Female,Locals,High School,710,cars vehicles,KW
4499,45+,Female,Locals,High School,90,cars vehicles,KW
4500,18-24,Male,Expats,Graduated,6700,cars vehicles,LB
4501,25-44,Male,Expats,Graduated,15000,cars vehicles,LB
