,age_range,gender,citizenship,scholarity,audience,topic,country_code
1948,25-44,Female,Expats,Graduated,8200,obesity,IQ
1949,45+,Female,Expats,Graduated,1300,obesity,IQ
1950,18-24,Male,Expats,No Degree,11000,obesity,IQ
1951,25-44,Male,Expats,No Degree,16000,obesity,IQ
1952,45+,Male,Expats,No Degree,3300,obesity,IQ
1953,18-24,Female,Expats,No Degree,4800,obesity,IQ
1954,25-44,Female,Expats,No Degree,6600,obesity,IQ
1955,45+,Female,Expats,No Degree,1500,obesity,IQ
1956,18-24,Male,Expats,High School,7900,obesity,IQ
1957,25-44,Male,Expats,High School,8500,obesity,IQ
1958,45+,Male,Expats,High School,1400,obesity,IQ
1959,18-24,Female,Expats,High School,2900,obesity,IQ
1960,25-44,Female,Expats,High School,2400,obesity,IQ
1961,45+,Female,Expats,High School,470,obesity,IQ
1962,18-24,Male,Locals,Graduated,160000,obesity,IQ
1963,25-44,Male,Locals,Graduated,360000,obesity,IQ
1964,45+,Male,Locals,Graduated,55000,obesity,IQ
1965,18-24,Female,Locals,Graduated,52000,obesity,IQ
1966,25-44,Female,Locals,Graduated,130000,obesity,IQ
1967,45+,Female,Locals,Graduated,23000,obesity,IQ
1968,18-24,Male,Locals,No Degree,220000,obesity,IQ
1969,25-44,Male,Locals,No Degree,330000,obesity,IQ
1970,45+,Male,Locals,No Degree,90000,obesity,IQ
1971,18-24,Female,Locals,No Degree,89000,obesity,IQ
1972,25-44,Female,Locals,No Degree,150000,obesity,IQ
1973,45+,Female,Locals,No Degree,46000,obesity,IQ
1974,18-24,Male,Locals,High School,100000,obesity,IQ
1975,25-44,Male,Locals,High School,110000,obesity,IQ
1976,45+,Male,Locals,High School,19000,obesity,IQ
1977,18-24,Female,Locals,High School,50000,obesity,IQ
1978,25-44,Female,Locals,High School,42000,obesity,IQ
1979,45+,Female,Locals,High School,8000,obesity,IQ
1980,18-24,Male,Expats,Graduated,9700,obesity,JO
1981,25-44,Male,Expats,Graduated,19000,obesity,JO
1982,45+,Male,Expats,Graduated,3800,obesity,JO
1983,18-24,Female,Expats,Graduated,9500,obesity,JO
