,ages_ranges,genders,behavior,scholarities,audience,topic,location
14688,18-24,1.0,Expats,Graduated,80,Fighter Aircraft,Alabama
14689,25-44,1.0,Expats,Graduated,260,Fighter Aircraft,Alabama
14690,45+,1.0,Expats,Graduated,200,Fighter Aircraft,Alabama
14691,18-24,2.0,Expats,Graduated,20,Fighter Aircraft,Alabama
14692,25-44,2.0,Expats,Graduated,100,Fighter Aircraft,Alabama
14693,45+,2.0,Expats,Graduated,190,Fighter Aircraft,Alabama
14694,18-24,1.0,Expats,No Degree,40,Fighter Aircraft,Alabama
14695,25-44,1.0,Expats,No Degree,100,Fighter Aircraft,Alabama
14696,45+,1.0,Expats,No Degree,80,Fighter Aircraft,Alabama
14697,18-24,2.0,Expats,No Degree,20,Fighter Aircraft,Alabama
14698,25-44,2.0,Expats,No Degree,60,Fighter Aircraft,Alabama
14699,45+,2.0,Expats,No Degree,90,Fighter Aircraft,Alabama
14700,18-24,1.0,Expats,High School,80,Fighter Aircraft,Alabama
14701,25-44,1.0,Expats,High School,120,Fighter Aircraft,Alabama
14702,45+,1.0,Expats,High School,60,Fighter Aircraft,Alabama
14703,18-24,2.0,Expats,High School,30,Fighter Aircraft,Alabama
14704,25-44,2.0,Expats,High School,70,Fighter Aircraft,Alabama
14705,45+,2.0,Expats,High School,70,Fighter Aircraft,Alabama
14706,18-24,1.0,Locals,Graduated,1400,Fighter Aircraft,Alabama
14707,25-44,1.0,Locals,Graduated,6100,Fighter Aircraft,Alabama
14708,45+,1.0,Locals,Graduated,9000,Fighter Aircraft,Alabama
14709,18-24,2.0,Locals,Graduated,590,Fighter Aircraft,Alabama
14710,25-44,2.0,Locals,Graduated,3400,Fighter Aircraft,Alabama
14711,45+,2.0,Locals,Graduated,9100,Fighter Aircraft,Alabama
14712,18-24,1.0,Locals,No Degree,580,Fighter Aircraft,Alabama
14713,25-44,1.0,Locals,No Degree,1500,Fighter Aircraft,Alabama
14714,45+,1.0,Locals,No Degree,3000,Fighter Aircraft,Alabama
14715,18-24,2.0,Locals,No Degree,360,Fighter Aircraft,Alabama
14716,25-44,2.0,Locals,No Degree,760,Fighter Aircraft,Alabama
14717,45+,2.0,Locals,No Degree,3000,Fighter Aircraft,Alabama
14718,18-24,1.0,Locals,High School,2000,Fighter Aircraft,Alabama
14719,25-44,1.0,Locals,High School,4400,Fighter Aircraft,Alabama
14720,45+,1.0,Locals,High School,5800,Fighter Aircraft,Alabama
14721,18-24,2.0,Locals,High School,1100,Fighter Aircraft,Alabama
14722,25-44,2.0,Locals,High School,2300,Fighter Aircraft,Alabama
14723,45+,2.0,Locals,High School,5900,Fighter Aircraft,Alabama
14724,18-24,1.0,Expats,Graduated,50,Fighter Aircraft,Alaska
14725,25-44,1.0,Expats,Graduated,100,Fighter Aircraft,Alaska
14726,45+,1.0,Expats,Graduated,100,Fighter Aircraft,Alaska
14727,18-24,2.0,Expats,Graduated,20,Fighter Aircraft,Alaska
14728,25-44,2.0,Expats,Graduated,30,Fighter Aircraft,Alaska
14729,45+,2.0,Expats,Graduated,150,Fighter Aircraft,Alaska
