,age_range,gender,citizenship,scholarity,audience,topic,country_code
1325,45+,Female,Locals,No Degree,89000,health care,EG
1326,18-24,Male,Locals,High School,140000,health care,EG
1327,25-44,Male,Locals,High School,110000,health care,EG
1328,45+,Male,Locals,High School,24000,health care,EG
1329,18-24,Female,Locals,High School,200000,health care,EG
1330,25-44,Female,Locals,High School,89000,health care,EG
1331,45+,Female,Locals,High School,15000,health care,EG
1332,18-24,Male,Expats,Graduated,7500,health care,IQ
1333,25-44,Male,Expats,Graduated,21000,health care,IQ
1334,45+,Male,Expats,Graduated,3400,health care,IQ
1335,18-24,Female,Expats,Graduated,1800,health care,IQ
1336,25-44,Female,Expats,Graduated,5200,health care,IQ
1337,45+,Female,Expats,Graduated,660,health care,IQ
1338,18-24,Male,Expats,No Degree,5000,health care,IQ
1339,25-44,Male,Expats,No Degree,9300,health care,IQ
1340,45+,Male,Expats,No Degree,2400,health care,IQ
1341,18-24,Female,Expats,No Degree,1900,health care,IQ
1342,25-44,Female,Expats,No Degree,3300,health care,IQ
1343,45+,Female,Expats,No Degree,950,health care,IQ
1344,18-24,Male,Expats,High School,4100,health care,IQ
1345,25-44,Male,Expats,High School,5900,health care,IQ
1346,45+,Male,Expats,High School,980,health care,IQ
1347,18-24,Female,Expats,High School,1600,health care,IQ
1348,25-44,Female,Expats,High School,1500,health care,IQ
1349,45+,Female,Expats,High School,270,health care,IQ
1350,18-24,Male,Locals,Graduated,80000,health care,IQ
1351,25-44,Male,Locals,Graduated,240000,health care,IQ
1352,45+,Male,Locals,Graduated,41000,health care,IQ
1353,18-24,Female,Locals,Graduated,32000,health care,IQ
1354,25-44,Female,Locals,Graduated,74000,health care,IQ
1355,45+,Female,Locals,Graduated,11000,health care,IQ
1356,18-24,Male,Locals,No Degree,110000,health care,IQ
1357,25-44,Male,Locals,No Degree,200000,health care,IQ
1358,45+,Male,Locals,No Degree,63000,health care,IQ
1359,18-24,Female,Locals,No Degree,33000,health care,IQ
1360,25-44,Female,Locals,No Degree,66000,health care,IQ
1361,45+,Female,Locals,No Degree,21000,health care,IQ
1362,18-24,Male,Locals,High School,55000,health care,IQ
1363,25-44,Male,Locals,High School,70000,health care,IQ
1364,45+,Male,Locals,High School,13000,health care,IQ
1365,18-24,Female,Locals,High School,29000,health care,IQ
1366,25-44,Female,Locals,High School,21000,health care,IQ
1367,45+,Female,Locals,High School,4100,health care,IQ
1368,18-24,Male,Expats,Graduated,5900,health care,JO
1369,25-44,Male,Expats,Graduated,20000,health care,JO
1370,45+,Male,Expats,Graduated,5100,health care,JO
1371,18-24,Female,Expats,Graduated,6900,health care,JO
1372,25-44,Female,Expats,Graduated,18000,health care,JO
1373,45+,Female,Expats,Graduated,4400,health care,JO
1374,18-24,Male,Expats,No Degree,5100,health care,JO
1375,25-44,Male,Expats,No Degree,12000,health care,JO
1376,45+,Male,Expats,No Degree,5300,health care,JO
1377,18-24,Female,Expats,No Degree,3900,health care,JO
1378,25-44,Female,Expats,No Degree,9800,health care,JO
1379,45+,Female,Expats,No Degree,5500,health care,JO
1380,18-24,Male,Expats,High School,5000,health care,JO
1381,25-44,Male,Expats,High School,5700,health care,JO
1382,45+,Male,Expats,High School,1600,health care,JO
1383,18-24,Female,Expats,High School,8300,health care,JO
1384,25-44,Female,Expats,High School,5600,health care,JO
1385,45+,Female,Expats,High School,1600,health care,JO
1386,18-24,Male,Locals,Graduated,22000,health care,JO
1387,25-44,Male,Locals,Graduated,67000,health care,JO
1388,45+,Male,Locals,Graduated,18000,health care,JO
1389,18-24,Female,Locals,Graduated,24000,health care,JO
1390,25-44,Female,Locals,Graduated,62000,health care,JO
1391,45+,Female,Locals,Graduated,10000,health care,JO
1392,18-24,Male,Locals,No Degree,19000,health care,JO
1393,25-44,Male,Locals,No Degree,39000,health care,JO
1394,45+,Male,Locals,No Degree,23000,health care,JO
1395,18-24,Female,Locals,No Degree,19000,health care,JO
1396,25-44,Female,Locals,No Degree,42000,health care,JO
1397,45+,Female,Locals,No Degree,21000,health care,JO
1398,18-24,Male,Locals,High School,17000,health care,JO
1399,25-44,Male,Locals,High School,19000,health care,JO
1400,45+,Male,Locals,High School,7200,health care,JO
1401,18-24,Female,Locals,High School,26000,health care,JO
1402,25-44,Female,Locals,High School,17000,health care,JO
1403,45+,Female,Locals,High School,4300,health care,JO
1404,18-24,Male,Expats,Graduated,8600,health care,KW
1405,25-44,Male,Expats,Graduated,80000,health care,KW
1406,45+,Male,Expats,Graduated,11000,health care,KW
1407,18-24,Female,Expats,Graduated,4300,health care,KW
1408,25-44,Female,Expats,Graduated,46000,health care,KW
1409,45+,Female,Expats,Graduated,5900,health care,KW
1410,18-24,Male,Expats,No Degree,17000,health care,KW
1411,25-44,Male,Expats,No Degree,72000,health care,KW
1412,45+,Male,Expats,No Degree,14000,health care,KW
1413,18-24,Female,Expats,No Degree,7900,health care,KW
1414,25-44,Female,Expats,No Degree,25000,health care,KW
1415,45+,Female,Expats,No Degree,5100,health care,KW
1416,18-24,Male,Expats,High School,3900,health care,KW
1417,25-44,Male,Expats,High School,22000,health care,KW
1418,45+,Male,Expats,High School,3300,health care,KW
1419,18-24,Female,Expats,High School,3000,health care,KW
1420,25-44,Female,Expats,High School,16000,health care,KW
1421,45+,Female,Expats,High School,2300,health care,KW
1422,18-24,Male,Locals,Graduated,550,health care,KW
1423,25-44,Male,Locals,Graduated,2500,health care,KW
1424,45+,Male,Locals,Graduated,580,health care,KW
1425,18-24,Female,Locals,Graduated,240,health care,KW
1426,25-44,Female,Locals,Graduated,1900,health care,KW
1427,45+,Female,Locals,Graduated,310,health care,KW
1428,18-24,Male,Locals,No Degree,1200,health care,KW
1429,25-44,Male,Locals,No Degree,3200,health care,KW
1430,45+,Male,Locals,No Degree,990,health care,KW
1431,18-24,Female,Locals,No Degree,780,health care,KW
1432,25-44,Female,Locals,No Degree,2000,health care,KW
1433,45+,Female,Locals,No Degree,540,health care,KW
1434,18-24,Male,Locals,High School,340,health care,KW
1435,25-44,Male,Locals,High School,700,health care,KW
1436,45+,Male,Locals,High School,140,health care,KW
1437,18-24,Female,Locals,High School,300,health care,KW
1438,25-44,Female,Locals,High School,420,health care,KW
1439,45+,Female,Locals,High School,60,health care,KW
1440,18-24,Male,Expats,Graduated,1700,health care,LB
1441,25-44,Male,Expats,Graduated,5300,health care,LB
1442,45+,Male,Expats,Graduated,1100,health care,LB
1443,18-24,Female,Expats,Graduated,1100,health care,LB
1444,25-44,Female,Expats,Graduated,4700,health care,LB
