,topic,country_code,citizenship,gender,is_denominator,language,max_age,min_age,scholarity,audience,age_range
3757,fitness and wellness,DZ,Locals,Male,False,NOTSELECTED,24,18,ND,480000,18-24
3759,fitness and wellness,EG,Locals,Male,False,NOTSELECTED,24,18,ND,850000,18-24
3760,fitness and wellness,IQ,Locals,Male,False,NOTSELECTED,24,18,ND,710000,18-24
3761,fitness and wellness,JO,Locals,Male,False,NOTSELECTED,24,18,ND,130000,18-24
3762,fitness and wellness,KW,Locals,Male,False,NOTSELECTED,24,18,ND,7900,18-24
3763,fitness and wellness,LB,Locals,Male,False,NOTSELECTED,24,18,ND,91000,18-24
3764,fitness and wellness,LY,Locals,Male,False,NOTSELECTED,24,18,ND,60000,18-24
3765,fitness and wellness,MA,Locals,Male,False,NOTSELECTED,24,18,ND,480000,18-24
3766,fitness and wellness,OM,Locals,Male,False,NOTSELECTED,24,18,ND,13000,18-24
3767,fitness and wellness,QA,Locals,Male,False,NOTSELECTED,24,18,ND,13000,18-24
3768,fitness and wellness,SA,Locals,Male,False,NOTSELECTED,24,18,ND,930000,18-24
3769,fitness and wellness,SO,Locals,Male,False,NOTSELECTED,24,18,ND,24000,18-24
3770,fitness and wellness,TN,Locals,Male,False,NOTSELECTED,24,18,ND,160000,18-24
3771,fitness and wellness,AE,Locals,Male,False,NOTSELECTED,24,18,ND,37000,18-24
3772,fitness and wellness,YE,Locals,Male,False,NOTSELECTED,24,18,ND,53000,18-24
3773,fitness and wellness,PS,Locals,Male,False,NOTSELECTED,24,18,ND,21000,18-24
3859,fitness and wellness,DZ,Locals,Male,False,NOTSELECTED,24,18,HS,200000,18-24
3861,fitness and wellness,EG,Locals,Male,False,NOTSELECTED,24,18,HS,790000,18-24
3862,fitness and wellness,IQ,Locals,Male,False,NOTSELECTED,24,18,HS,310000,18-24
3863,fitness and wellness,JO,Locals,Male,False,NOTSELECTED,24,18,HS,110000,18-24
3864,fitness and wellness,KW,Locals,Male,False,NOTSELECTED,24,18,HS,3000,18-24
3865,fitness and wellness,LB,Locals,Male,False,NOTSELECTED,24,18,HS,48000,18-24
3866,fitness and wellness,LY,Locals,Male,False,NOTSELECTED,24,18,HS,40000,18-24
3867,fitness and wellness,MA,Locals,Male,False,NOTSELECTED,24,18,HS,270000,18-24
3868,fitness and wellness,OM,Locals,Male,False,NOTSELECTED,24,18,HS,5300,18-24
3869,fitness and wellness,QA,Locals,Male,False,NOTSELECTED,24,18,HS,3400,18-24
3870,fitness and wellness,SA,Locals,Male,False,NOTSELECTED,24,18,HS,110000,18-24
3871,fitness and wellness,SO,Locals,Male,False,NOTSELECTED,24,18,HS,7800,18-24
3872,fitness and wellness,TN,Locals,Male,False,NOTSELECTED,24,18,HS,99000,18-24
3873,fitness and wellness,AE,Locals,Male,False,NOTSELECTED,24,18,HS,13000,18-24
3874,fitness and wellness,YE,Locals,Male,False,NOTSELECTED,24,18,HS,32000,18-24
3875,fitness and wellness,PS,Locals,Male,False,NOTSELECTED,24,18,HS,28000,18-24
3961,fitness and wellness,DZ,Locals,Male,False,NOTSELECTED,24,18,GRAD,470000,18-24
3963,fitness and wellness,EG,Locals,Male,False,NOTSELECTED,24,18,GRAD,1400000,18-24
3964,fitness and wellness,IQ,Locals,Male,False,NOTSELECTED,24,18,GRAD,500000,18-24
3965,fitness and wellness,JO,Locals,Male,False,NOTSELECTED,24,18,GRAD,130000,18-24
3966,fitness and wellness,KW,Locals,Male,False,NOTSELECTED,24,18,GRAD,4800,18-24
3967,fitness and wellness,LB,Locals,Male,False,NOTSELECTED,24,18,GRAD,62000,18-24
3968,fitness and wellness,LY,Locals,Male,False,NOTSELECTED,24,18,GRAD,73000,18-24
3969,fitness and wellness,MA,Locals,Male,False,NOTSELECTED,24,18,GRAD,680000,18-24
