,topic,country_code,citizenship,gender,is_denominator,language,max_age,min_age,scholarity,audience,age_range
60,fitness and wellness,TN,Locals,Female,False,NOTSELECTED,24,18,ND,170000,18-24
61,fitness and wellness,AE,Locals,Female,False,NOTSELECTED,24,18,ND,13000,18-24
62,fitness and wellness,YE,Locals,Female,False,NOTSELECTED,24,18,ND,12000,18-24
63,fitness and wellness,PS,Locals,Female,False,NOTSELECTED,24,18,ND,21000,18-24
64,fitness and wellness,DZ,Locals,Female,False,NOTSELECTED,24,18,HS,140000,18-24
65,fitness and wellness,EG,Locals,Female,False,NOTSELECTED,24,18,HS,730000,18-24
66,fitness and wellness,IQ,Locals,Female,False,NOTSELECTED,24,18,HS,130000,18-24
67,fitness and wellness,JO,Locals,Female,False,NOTSELECTED,24,18,HS,110000,18-24
68,fitness and wellness,KW,Locals,Female,False,NOTSELECTED,24,18,HS,2500,18-24
69,fitness and wellness,LB,Locals,Female,False,NOTSELECTED,24,18,HS,57000,18-24
70,fitness and wellness,LY,Locals,Female,False,NOTSELECTED,24,18,HS,44000,18-24
71,fitness and wellness,MA,Locals,Female,False,NOTSELECTED,24,18,HS,190000,18-24
72,fitness and wellness,OM,Locals,Female,False,NOTSELECTED,24,18,HS,1600,18-24
73,fitness and wellness,QA,Locals,Female,False,NOTSELECTED,24,18,HS,2100,18-24
74,fitness and wellness,SA,Locals,Female,False,NOTSELECTED,24,18,HS,47000,18-24
75,fitness and wellness,SO,Locals,Female,False,NOTSELECTED,24,18,HS,4900,18-24
76,fitness and wellness,TN,Locals,Female,False,NOTSELECTED,24,18,HS,110000,18-24
77,fitness and wellness,AE,Locals,Female,False,NOTSELECTED,24,18,HS,6900,18-24
78,fitness and wellness,YE,Locals,Female,False,NOTSELECTED,24,18,HS,10000,18-24
79,fitness and wellness,PS,Locals,Female,False,NOTSELECTED,24,18,HS,32000,18-24
80,fitness and wellness,DZ,Locals,Female,False,NOTSELECTED,24,18,GRAD,310000,18-24
81,fitness and wellness,EG,Locals,Female,False,NOTSELECTED,24,18,GRAD,1100000,18-24
82,fitness and wellness,IQ,Locals,Female,False,NOTSELECTED,24,18,GRAD,140000,18-24
83,fitness and wellness,JO,Locals,Female,False,NOTSELECTED,24,18,GRAD,100000,18-24
84,fitness and wellness,KW,Locals,Female,False,NOTSELECTED,24,18,GRAD,3200,18-24
