,Unnamed: 0.1,ages_ranges,genders,behavior,scholarities,audience,timestamp,topic,location
1475,1475,45+,2.0,Locals,High School,2400,1485867205.82,health care,LB
1476,1476,18-24,1.0,Expats,Graduated,2300,1485867205.82,health care,LY
1477,1477,25-44,1.0,Expats,Graduated,9000,1485867205.82,health care,LY
1478,1478,45+,1.0,Expats,Graduated,1100,1485867205.82,health care,LY
1479,1479,18-24,2.0,Expats,Graduated,1200,1485867205.82,health care,LY
1480,1480,25-44,2.0,Expats,Graduated,4600,1485867205.82,health care,LY
1481,1481,45+,2.0,Expats,Graduated,840,1485867205.82,health care,LY
1482,1482,18-24,1.0,Expats,No Degree,2800,1485867205.82,health care,LY
1483,1483,25-44,1.0,Expats,No Degree,7500,1485867205.82,health care,LY
1484,1484,45+,1.0,Expats,No Degree,1300,1485867205.82,health care,LY
1485,1485,18-24,2.0,Expats,No Degree,1400,1485867205.82,health care,LY
1486,1486,25-44,2.0,Expats,No Degree,3700,1485867205.82,health care,LY
1487,1487,45+,2.0,Expats,No Degree,940,1485867205.82,health care,LY
1488,1488,18-24,1.0,Expats,High School,1100,1485867205.82,health care,LY
1489,1489,25-44,1.0,Expats,High School,2000,1485867205.82,health care,LY
1490,1490,45+,1.0,Expats,High School,400,1485867205.82,health care,LY
1491,1491,18-24,2.0,Expats,High School,870,1485867205.82,health care,LY
1492,1492,25-44,2.0,Expats,High School,1000,1485867205.82,health care,LY
1493,1493,45+,2.0,Expats,High School,200,1485867205.82,health care,LY
1494,1494,18-24,1.0,Locals,Graduated,16000,1485867205.82,health care,LY
1495,1495,25-44,1.0,Locals,Graduated,48000,1485867205.82,health care,LY
1496,1496,45+,1.0,Locals,Graduated,7700,1485867205.82,health care,LY
1497,1497,18-24,2.0,Locals,Graduated,19000,1485867205.82,health care,LY
1498,1498,25-44,2.0,Locals,Graduated,51000,1485867205.82,health care,LY
1499,1499,45+,2.0,Locals,Graduated,5800,1485867205.82,health care,LY
1500,1500,18-24,1.0,Locals,No Degree,12000,1485867205.82,health care,LY
1501,1501,25-44,1.0,Locals,No Degree,33000,1485867205.82,health care,LY
1502,1502,45+,1.0,Locals,No Degree,7900,1485867205.82,health care,LY
1503,1503,18-24,2.0,Locals,No Degree,17000,1485867205.82,health care,LY
1504,1504,25-44,2.0,Locals,No Degree,43000,1485867205.82,health care,LY
1505,1505,45+,2.0,Locals,No Degree,12000,1485867205.82,health care,LY
1506,1506,18-24,1.0,Locals,High School,9700,1485867205.82,health care,LY
1507,1507,25-44,1.0,Locals,High School,10000,1485867205.82,health care,LY
1508,1508,45+,1.0,Locals,High School,2100,1485867205.82,health care,LY
1509,1509,18-24,2.0,Locals,High School,15000,1485867205.82,health care,LY
1510,1510,25-44,2.0,Locals,High School,12000,1485867205.82,health care,LY
1511,1511,45+,2.0,Locals,High School,1900,1485867205.82,health care,LY
1512,1512,18-24,1.0,Expats,Graduated,12000,1485867205.82,health care,MA
1513,1513,25-44,1.0,Expats,Graduated,12000,1485867205.82,health care,MA
1514,1514,45+,1.0,Expats,Graduated,2700,1485867205.82,health care,MA
1515,1515,18-24,2.0,Expats,Graduated,4800,1485867205.82,health care,MA
1516,1516,25-44,2.0,Expats,Graduated,5700,1485867205.82,health care,MA
1517,1517,45+,2.0,Expats,Graduated,1100,1485867205.82,health care,MA
1518,1518,18-24,1.0,Expats,No Degree,4500,1485867205.82,health care,MA
1519,1519,25-44,1.0,Expats,No Degree,7900,1485867205.82,health care,MA
1520,1520,45+,1.0,Expats,No Degree,2000,1485867205.82,health care,MA
1521,1521,18-24,2.0,Expats,No Degree,2700,1485867205.82,health care,MA
1522,1522,25-44,2.0,Expats,No Degree,4800,1485867205.82,health care,MA
1523,1523,45+,2.0,Expats,No Degree,1300,1485867205.82,health care,MA
1524,1524,18-24,1.0,Expats,High School,4000,1485867205.82,health care,MA
1525,1525,25-44,1.0,Expats,High School,3500,1485867205.82,health care,MA
1526,1526,45+,1.0,Expats,High School,850,1485867205.82,health care,MA
1527,1527,18-24,2.0,Expats,High School,1900,1485867205.82,health care,MA
1528,1528,25-44,2.0,Expats,High School,1600,1485867205.82,health care,MA
1529,1529,45+,2.0,Expats,High School,440,1485867205.82,health care,MA
1530,1530,18-24,1.0,Locals,Graduated,77000,1485867205.82,health care,MA
1531,1531,25-44,1.0,Locals,Graduated,120000,1485867205.82,health care,MA
